season,home_team,away_team,goals_h,goals_a,stadium,link,match_week,match_date,month,day,weekday,referee,attendance,possession_h,possession_a,shots_on_target_h,shots_on_target_a,shots_h,shots_a,touches_h,touches_a,passes_h,passes_a,tackles_h,tackles_a,clearances_h,clearances_a,corners_h,corners_a,offsides_h,offsides_a,yellow_cards_h,yellow_cards_a,red_cards_h,red_cards_a,fouls_conceded_h,fouls_conceded_a,formation_h,formation_a
2007/08,Birmingham,Blackburn,4,1,St. Andrew's Trillion Trophy Stadium,https://www.premierleague.com/match/6317,39,2008-05-11,5,11,7,Howard Webb,,47.3,52.7,8,7,15,15,515,544,303,333,18,15,32,26,5,2,3,6,3,2,0,0,16,16,,
2007/08,Chelsea,Bolton,1,1,Stamford Bridge,https://www.premierleague.com/match/6318,39,2008-05-11,5,11,7,Chris Foy,,72.4,27.6,6,3,25,9,729,388,513,193,13,20,24,48,9,2,3,1,1,3,0,0,13,8,,
2007/08,Derby,Reading,0,4,Pride Park Stadium,https://www.premierleague.com/match/6319,39,2008-05-11,5,11,7,Michael Riley,33087.0,49.4,50.6,3,6,9,13,508,566,330,343,18,15,37,59,2,0,0,2,0,1,0,0,18,18,,
2007/08,Everton,Newcastle,3,1,Goodison Park,https://www.premierleague.com/match/6320,39,2008-05-11,5,11,7,Peter Walton,,54.1,45.9,10,2,21,4,592,551,420,362,23,17,26,54,6,2,1,2,0,2,0,0,11,13,,
2007/08,Middlesbrough,Man City,8,1,Riverside Stadium,https://www.premierleague.com/match/6321,39,2008-05-11,5,11,7,Phil Dowd,,51.5,48.5,13,2,20,8,570,528,410,390,12,12,23,21,7,0,5,2,2,1,0,1,12,9,,
2007/08,Portsmouth,Fulham,0,1,Fratton Park,https://www.premierleague.com/match/6322,39,2008-05-11,5,11,7,Mark Clattenburg,,48.1,51.9,5,4,16,10,577,584,345,359,20,36,43,37,5,6,0,0,8,3,0,0,13,12,,
2007/08,Sunderland,Arsenal,0,1,Stadium of Light,https://www.premierleague.com/match/6323,39,2008-05-11,5,11,7,Keith Stroud,,47.4,52.6,3,4,13,12,614,669,441,507,23,16,15,26,3,4,3,2,1,1,0,0,16,13,,
2007/08,Spurs,Liverpool,0,2,White Hart Lane,https://www.premierleague.com/match/6324,39,2008-05-11,5,11,7,Uriah Rennie,,49.9,50.1,2,11,8,18,619,671,421,444,27,23,19,44,8,4,3,0,1,1,0,0,12,9,,
2007/08,West Ham,Aston Villa,2,2,Boleyn Ground,https://www.premierleague.com/match/6325,39,2008-05-11,5,11,7,Mike Dean,,57.7,42.3,6,7,20,19,519,453,340,227,21,17,39,73,7,8,0,2,2,2,0,0,11,23,,
2007/08,Wigan,Man Utd,0,2,DW Stadium,https://www.premierleague.com/match/6326,39,2008-05-11,5,11,7,Stephen Bennett,,37.6,62.4,4,6,15,13,492,699,269,457,27,29,36,59,4,11,2,0,3,2,0,0,10,6,,
2007/08,Newcastle,Chelsea,0,2,Sports Direct Arena,https://www.premierleague.com/match/6316,38,2008-05-05,5,5,1,Stephen Bennett,,42.2,57.8,3,5,15,19,628,783,404,559,25,28,38,24,1,6,2,0,2,2,0,0,13,15,,
2007/08,Arsenal,Everton,1,0,Emirates Stadium,https://www.premierleague.com/match/6314,38,2008-05-04,5,4,7,Alan Wiley,,52.6,47.4,2,4,12,11,782,699,541,494,24,28,34,26,8,3,1,2,0,1,0,0,10,6,,
2007/08,Liverpool,Man City,1,0,Anfield,https://www.premierleague.com/match/6315,38,2008-05-04,5,4,7,Mark Halsey,,53.1,46.9,8,2,25,5,715,639,440,394,39,32,29,40,12,5,0,0,5,1,0,0,10,5,,
2007/08,Man Utd,West Ham,4,1,Old Trafford,https://www.premierleague.com/match/6311,38,2008-05-03,5,3,6,Michael Riley,,49.8,50.2,4,4,8,10,614,617,436,442,23,21,32,18,4,2,1,2,1,2,1,0,17,18,,
2007/08,Aston Villa,Wigan,0,2,Villa Park,https://www.premierleague.com/match/6307,38,2008-05-03,5,3,6,Rob Styles,,56.6,43.4,4,4,14,10,625,546,399,313,17,31,19,63,8,2,2,0,0,1,0,0,6,8,,
2007/08,Blackburn,Derby,3,1,Ewood Park,https://www.premierleague.com/match/6308,38,2008-05-03,5,3,6,Uriah Rennie,,58.7,41.3,10,2,25,6,578,463,336,232,12,28,57,51,9,1,0,0,1,2,0,0,13,20,,
