season,home_team,away_team,goals_h,goals_a,stadium,link,match_week,match_date,month,day,weekday,referee,attendance,possession_h,possession_a,shots_on_target_h,shots_on_target_a,shots_h,shots_a,touches_h,touches_a,passes_h,passes_a,tackles_h,tackles_a,clearances_h,clearances_a,corners_h,corners_a,offsides_h,offsides_a,yellow_cards_h,yellow_cards_a,red_cards_h,red_cards_a,fouls_conceded_h,fouls_conceded_a,formation_h,formation_a
2011/12,Chelsea,Blackburn,2,1,Stamford Bridge,https://www.premierleague.com/match/7837,37,2012-05-13,5,13,7,Lee Mason,40742,58.4,41.6,4,4,19,10,736,583,560,402,14,21,9,39,8,2,3,4,1,0,0,0,14,4,,
2011/12,Everton,Newcastle,3,1,Goodison Park,https://www.premierleague.com/match/7838,37,2012-05-13,5,13,7,Andre Marriner,39517,46.9,53.1,10,3,17,11,560,610,372,441,20,20,26,16,4,3,3,1,2,2,1,0,18,16,,
2011/12,Man City,QPR,3,2,Etihad Stadium,https://www.premierleague.com/match/7839,37,2012-05-13,5,13,7,Mike Dean,48000,81.3,18.7,15,3,44,3,938,375,710,175,15,22,5,57,19,0,1,1,1,1,0,1,4,7,4-4-1-1,4-4-2
2011/12,Norwich,Aston Villa,2,0,Carrow Road,https://www.premierleague.com/match/7840,37,2012-05-13,5,13,7,Martin Atkinson,26803,58.9,41.1,8,5,23,10,703,525,515,343,12,11,34,18,8,6,3,3,1,2,0,0,7,11,,
2011/12,Stoke,Bolton,2,2,bet365 Stadium,https://www.premierleague.com/match/7841,37,2012-05-13,5,13,7,Chris Foy,27789,50.9,49.1,7,4,17,20,556,519,290,272,13,23,68,45,5,9,2,2,1,1,0,0,10,5,,
2011/12,Sunderland,Man Utd,0,1,Stadium of Light,https://www.premierleague.com/match/7842,37,2012-05-13,5,13,7,Howard Webb,46452,35.5,64.5,2,7,8,21,525,815,337,628,20,24,27,24,1,9,0,0,3,3,0,0,14,11,,
2011/12,Swansea,Liverpool,1,0,Liberty Stadium,https://www.premierleague.com/match/7843,37,2012-05-13,5,13,7,Mark Halsey,20605,62.4,37.6,4,5,13,13,809,533,606,355,19,22,20,13,6,5,1,0,1,1,0,0,7,6,,
2011/12,Spurs,Fulham,2,0,White Hart Lane,https://www.premierleague.com/match/7844,37,2012-05-13,5,13,7,Phil Dowd,36256,51.0,49.0,6,5,17,11,711,668,534,509,25,16,22,14,8,3,0,3,0,2,0,0,9,12,,
2011/12,West Brom,Arsenal,2,3,The Hawthorns,https://www.premierleague.com/match/7845,37,2012-05-13,5,13,7,Mike Jones,26358,41.7,58.3,5,3,13,13,509,653,326,466,16,29,18,24,9,5,4,3,0,1,0,0,12,11,,
2011/12,Wigan,Wolves,3,2,DW Stadium,https://www.premierleague.com/match/7846,37,2012-05-13,5,13,7,Michael Oliver,21986,52.0,48.0,8,4,14,9,635,627,472,431,23,19,14,27,9,2,2,0,1,2,0,0,15,9,,
2011/12,Liverpool,Chelsea,4,1,Anfield,https://www.premierleague.com/match/7836,36,2012-05-09,5,9,3,Kevin Friend,40721,53.2,46.8,6,2,23,11,637,578,459,394,21,20,20,17,7,4,3,0,2,4,0,0,17,14,,
2011/12,Blackburn,Wigan,0,1,Ewood Park,https://www.premierleague.com/match/7835,36,2012-05-08,5,8,2,Mark Clattenburg,26144,36.7,63.3,2,6,12,20,463,683,257,461,18,10,22,29,5,6,0,2,2,1,0,0,14,13,,
2011/12,Newcastle,Man City,0,2,St James' Park,https://www.premierleague.com/match/7832,36,2012-05-06,5,6,7,Howard Webb,52389,43.7,56.3,3,8,15,21,591,715,383,501,27,20,21,27,2,6,1,3,4,3,0,0,12,8,,
2011/12,Aston Villa,Spurs,1,1,Villa Park,https://www.premierleague.com/match/7828,36,2012-05-06,5,6,7,Lee Probert,36008,37.5,62.5,1,4,4,22,503,712,292,489,30,22,45,26,4,19,2,1,1,2,0,1,11,8,,
2011/12,Bolton,West Brom,2,2,University of Bolton Stadium,https://www.premierleague.com/match/7829,36,2012-05-06,5,6,7,Kevin Friend,25662,37.6,62.4,5,10,15,19,511,694,292,501,20,12,29,17,4,4,3,8,1,4,0,0,16,10,,
2011/12,Fulham,Sunderland,2,1,Craven Cottage,https://www.premierleague.com/match/7830,36,2012-05-06,5,6,7,Martin Atkinson,25683,56.8,43.2,8,6,22,13,783,664,621,460,17,19,16,26,8,2,0,0,0,3,0,0,8,13,,
2011/12,QPR,Stoke,1,0,Kiyan Prince Foundation Stadium,https://www.premierleague.com/match/7833,36,2012-05-06,5,6,7,Andre Marriner,17319,54.6,45.4,6,0,22,8,578,515,341,283,20,22,47,52,7,3,0,0,1,0,0,0,10,16,,
2011/12,Wolves,Everton,0,0,Molineux Stadium,https://www.premierleague.com/match/7834,36,2012-05-06,5,6,7,Lee Mason,25466,43.2,56.8,0,4,9,21,596,702,366,492,23,16,46,15,3,7,0,0,4,9,0,0,9,10,,
2011/12,Man Utd,Swansea,2,0,Old Trafford,https://www.premierleague.com/match/7831,36,2012-05-06,5,6,7,Chris Foy,75496,59.8,40.2,7,6,28,13,820,627,579,402,26,20,20,45,16,3,0,0,1,0,0,0,12,6,,
2011/12,Arsenal,Norwich,3,3,Emirates Stadium,https://www.premierleague.com/match/7827,36,2012-05-05,5,5,6,Anthony Taylor,60092,63.4,36.6,11,4,23,13,742,500,506,286,9,22,23,46,6,1,1,6,2,3,0,0,9,15,,
2011/12,Bolton,Spurs,1,4,University of Bolton Stadium,https://www.premierleague.com/match/7825,35,2012-05-03,5,3,4,Mike Dean,22349,46.9,53.1,5,7,15,14,603,698,415,481,18,19,14,27,4,7,2,3,2,1,0,0,6,9,,
2011/12,Chelsea,Newcastle,0,2,Stamford Bridge,https://www.premierleague.com/match/7826,35,2012-05-02,5,2,3,Mark Halsey,41559,63.4,36.6,3,4,18,13,745,522,549,309,18,21,23,39,4,4,3,4,0,3,0,0,10,7,,
2011/12,Man City,Man Utd,1,0,Etihad Stadium,https://www.premierleague.com/match/7822,35,2012-05-01,5,1,2,Andre Marriner,47259,52.5,47.5,3,0,15,5,690,627,449,398,18,37,29,45,8,8,1,0,3,2,0,0,11,15,,
2011/12,Liverpool,Fulham,0,1,Anfield,https://www.premierleague.com/match/7823,35,2012-05-01,5,1,2,Lee Probert,40106,59.5,40.5,4,4,21,10,755,590,574,392,22,16,7,28,5,4,0,0,5,0,0,0,12,8,,
2011/12,Stoke,Everton,1,1,bet365 Stadium,https://www.premierleague.com/match/7824,35,2012-05-01,5,1,2,Anthony Taylor,26500,39.1,60.9,3,4,11,11,492,647,268,426,18,11,59,46,4,6,1,0,2,1,0,0,6,14,,
2011/12,Chelsea,QPR,6,1,Stamford Bridge,https://www.premierleague.com/match/7820,35,2012-04-29,4,29,7,Howard Webb,41675,56.7,43.3,13,2,30,13,698,548,524,384,11,20,13,22,8,5,3,3,0,1,0,0,9,8,,
2011/12,Spurs,Blackburn,2,0,White Hart Lane,https://www.premierleague.com/match/7821,35,2012-04-29,4,29,7,Mike Jones,35798,70.6,29.4,5,0,19,0,904,457,695,282,22,21,22,29,6,1,0,0,1,2,0,0,6,15,,
2011/12,Everton,Fulham,4,0,Goodison Park,https://www.premierleague.com/match/7813,35,2012-04-28,4,28,6,Phil Dowd,31885,52.4,47.6,7,2,12,6,783,705,615,557,24,12,22,13,3,4,4,2,1,1,0,0,14,10,,
2011/12,Stoke,Arsenal,1,1,bet365 Stadium,https://www.premierleague.com/match/7815,35,2012-04-28,4,28,6,Chris Foy,27502,37.1,62.9,2,5,5,17,499,735,290,515,22,15,48,35,2,5,5,2,1,2,0,0,8,11,,
2011/12,Sunderland,Bolton,2,2,Stadium of Light,https://www.premierleague.com/match/7816,35,2012-04-28,4,28,6,Lee Probert,40768,52.0,48.0,3,6,12,16,596,555,375,354,18,24,38,37,7,5,2,2,1,0,0,0,9,20,,
2011/12,Swansea,Wolves,4,4,Liberty Stadium,https://www.premierleague.com/match/7817,35,2012-04-28,4,28,6,Jonathan Moss,19408,55.0,45.0,7,6,11,17,690,597,516,406,20,16,30,20,2,6,1,0,2,1,0,0,8,10,,
2011/12,West Brom,Aston Villa,0,0,The Hawthorns,https://www.premierleague.com/match/7818,35,2012-04-28,4,28,6,Mark Clattenburg,25984,55.5,44.5,3,3,20,12,574,493,383,306,19,15,26,27,10,3,3,5,0,4,0,0,15,16,,
2011/12,Wigan,Newcastle,4,0,DW Stadium,https://www.premierleague.com/match/7819,35,2012-04-28,4,28,6,Mike Dean,22187,57.1,42.9,6,2,10,11,665,542,509,387,16,16,17,12,4,1,3,5,2,1,0,0,15,12,,
2011/12,Norwich,Liverpool,0,3,Carrow Road,https://www.premierleague.com/match/7814,35,2012-04-28,4,28,6,Mark Halsey,26819,44.4,55.6,1,5,9,16,641,755,451,568,21,12,37,23,5,7,2,5,4,0,0,0,9,4,,
2011/12,Aston Villa,Bolton,1,2,Villa Park,https://www.premierleague.com/match/7812,34,2012-04-24,4,24,2,Chris Foy,32263,43.8,56.2,4,6,18,15,518,627,292,386,22,18,15,35,9,6,6,3,1,2,0,0,9,16,,
2011/12,Man Utd,Everton,4,4,Old Trafford,https://www.premierleague.com/match/7810,34,2012-04-22,4,22,7,Mike Jones,75522,52.5,47.5,7,7,24,17,751,685,523,486,20,24,18,38,5,2,2,1,1,2,0,0,9,12,,
2011/12,Liverpool,West Brom,0,1,Anfield,https://www.premierleague.com/match/7809,34,2012-04-22,4,22,7,Neil Swarbrick,43660,63.3,36.7,6,3,30,9,806,553,564,332,14,26,20,48,15,3,2,4,2,0,0,0,12,8,,
2011/12,Wolves,Man City,0,2,Molineux Stadium,https://www.premierleague.com/match/7811,34,2012-04-22,4,22,7,Lee Probert,24576,51.8,48.2,3,5,6,17,676,662,475,463,16,25,24,35,7,4,2,4,0,1,0,0,6,12,,
2011/12,Aston Villa,Sunderland,0,0,Villa Park,https://www.premierleague.com/match/7803,34,2012-04-21,4,21,6,Anthony Taylor,32557,44.6,55.4,4,3,13,13,548,616,315,402,21,22,30,26,8,5,2,2,0,1,0,1,11,9,,
2011/12,QPR,Spurs,1,0,Kiyan Prince Foundation Stadium,https://www.premierleague.com/match/7808,34,2012-04-21,4,21,6,Mark Clattenburg,18021,31.0,69.0,3,6,12,20,479,795,265,585,18,16,33,15,4,13,2,1,3,0,1,0,13,11,,
2011/12,Arsenal,Chelsea,0,0,Emirates Stadium,https://www.premierleague.com/match/7802,34,2012-04-21,4,21,6,Mike Dean,60111,56.7,43.3,4,2,13,14,697,576,496,381,24,22,20,28,7,7,5,4,3,4,0,0,12,11,,
2011/12,Blackburn,Norwich,2,0,Ewood Park,https://www.premierleague.com/match/7804,34,2012-04-21,4,21,6,Kevin Friend,23218,42.7,57.3,3,3,8,13,496,610,285,400,9,19,41,57,9,7,4,1,1,1,0,0,10,13,,
2011/12,Bolton,Swansea,1,1,University of Bolton Stadium,https://www.premierleague.com/match/7805,34,2012-04-21,4,21,6,Phil Dowd,25401,38.1,61.9,2,4,10,26,493,717,284,480,13,14,34,42,8,10,2,5,2,1,0,0,19,8,,
2011/12,Fulham,Wigan,2,1,Craven Cottage,https://www.premierleague.com/match/7806,34,2012-04-21,4,21,6,Lee Mason,25689,51.2,48.8,4,4,14,10,669,648,492,482,15,16,11,23,4,0,2,1,1,2,0,0,11,16,,
2011/12,Newcastle,Stoke,3,0,St James' Park,https://www.premierleague.com/match/7807,34,2012-04-21,4,21,6,Andre Marriner,52162,58.1,41.9,9,0,17,8,699,559,527,365,21,23,21,31,4,5,2,2,0,2,0,0,9,10,,
2011/12,Arsenal,Wigan,1,2,Emirates Stadium,https://www.premierleague.com/match/7801,33,2012-04-17,4,17,2,Andre Marriner,60060,64.3,35.7,5,7,23,15,771,533,558,309,17,26,12,37,9,3,1,3,2,3,0,0,16,15,,
2011/12,Man Utd,Aston Villa,4,0,Old Trafford,https://www.premierleague.com/match/7800,33,2012-04-15,4,15,7,Mark Halsey,75138,65.3,34.7,9,2,29,12,753,492,548,289,26,16,26,24,11,4,1,0,3,3,0,0,9,8,,
2011/12,Norwich,Man City,1,6,Carrow Road,https://www.premierleague.com/match/7796,33,2012-04-14,4,14,6,Chris Foy,26812,47.4,52.6,6,11,16,23,688,789,482,557,18,22,23,39,3,5,0,4,1,2,0,0,10,5,,
2011/12,Sunderland,Wolves,0,0,Stadium of Light,https://www.premierleague.com/match/7797,33,2012-04-14,4,14,6,Mike Jones,37476,51.1,48.9,3,5,15,11,585,577,363,348,22,15,33,49,8,4,1,1,0,1,0,0,4,12,,
2011/12,Swansea,Blackburn,3,0,Liberty Stadium,https://www.premierleague.com/match/7798,33,2012-04-14,4,14,6,Mark Clattenburg,18985,73.2,26.8,8,2,22,8,810,391,612,214,19,19,20,27,7,3,2,0,0,2,0,0,8,14,,
2011/12,West Brom,QPR,1,0,The Hawthorns,https://www.premierleague.com/match/7799,33,2012-04-14,4,14,6,Jonathan Moss,25521,47.9,52.1,5,2,15,18,568,622,378,411,17,16,14,28,6,8,3,4,3,1,0,0,13,10,,
2011/12,QPR,Swansea,3,0,Kiyan Prince Foundation Stadium,https://www.premierleague.com/match/7793,32,2012-04-12,4,12,4,Lee Probert,17557,40.2,59.8,6,2,18,11,543,732,360,539,16,16,24,25,6,9,1,1,2,0,0,0,10,9,,
2011/12,Blackburn,Liverpool,2,3,Ewood Park,https://www.premierleague.com/match/7791,32,2012-04-11,4,11,3,Anthony Taylor,23571,52.2,47.8,6,6,15,16,542,530,375,354,14,15,11,34,4,4,2,5,4,5,0,1,16,14,,
2011/12,Man City,West Brom,4,0,Etihad Stadium,https://www.premierleague.com/match/7792,32,2012-04-11,4,11,3,Kevin Friend,46746,64.9,35.1,7,1,19,5,893,556,721,383,15,20,11,17,6,2,0,0,1,1,0,0,8,10,,
2011/12,Wigan,Man Utd,1,0,DW Stadium,https://www.premierleague.com/match/7794,32,2012-04-11,4,11,3,Phil Dowd,18115,44.9,55.1,3,1,13,9,550,637,367,449,20,27,22,25,7,3,2,2,1,2,0,0,8,14,,
2011/12,Wolves,Arsenal,0,3,Molineux Stadium,https://www.premierleague.com/match/7795,32,2012-04-11,4,11,3,Neil Swarbrick,25815,28.0,72.0,2,7,10,12,481,974,304,828,19,13,20,12,6,4,3,0,3,0,1,0,8,4,,
2011/12,Fulham,Chelsea,1,1,Craven Cottage,https://www.premierleague.com/match/7788,32,2012-04-10,4,10,2,Mark Clattenburg,25697,46.6,53.4,7,3,10,15,659,718,471,539,25,16,33,18,7,11,4,2,1,3,0,0,6,16,,
2011/12,Everton,Sunderland,4,0,Goodison Park,https://www.premierleague.com/match/7787,32,2012-04-09,4,9,1,Kevin Friend,32249,58.5,41.5,5,0,22,3,765,579,567,388,18,16,25,20,5,2,3,3,0,2,0,0,7,12,,
2011/12,Newcastle,Bolton,2,0,St James' Park,https://www.premierleague.com/match/7789,32,2012-04-09,4,9,1,Mike Jones,52264,50.9,49.1,3,3,8,9,581,583,401,377,11,16,24,32,6,5,7,2,1,1,0,0,7,18,,
2011/12,Spurs,Norwich,1,2,White Hart Lane,https://www.premierleague.com/match/7790,32,2012-04-09,4,9,1,Michael Oliver,36126,58.8,41.2,3,4,15,12,664,526,429,312,17,17,40,56,9,3,4,5,1,2,0,0,14,12,,
2011/12,Aston Villa,Stoke,1,1,Villa Park,https://www.premierleague.com/match/7786,32,2012-04-09,4,9,1,Mike Dean,30100,53.7,46.3,3,2,7,8,570,509,391,316,16,9,48,44,5,4,0,1,3,0,0,0,10,10,,
2011/12,Man Utd,QPR,2,0,Old Trafford,https://www.premierleague.com/match/7785,32,2012-04-08,4,8,7,Lee Mason,75505,72.4,27.6,10,0,27,9,918,463,734,270,18,19,14,41,11,5,3,0,1,0,0,1,13,11,,
2011/12,Arsenal,Man City,1,0,Emirates Stadium,https://www.premierleague.com/match/7784,32,2012-04-08,4,8,7,Martin Atkinson,60096,64.5,35.5,5,0,13,6,758,528,539,297,27,17,14,43,7,6,3,5,2,3,0,1,14,16,,
2011/12,Sunderland,Spurs,0,0,Stadium of Light,https://www.premierleague.com/match/7782,32,2012-04-07,4,7,6,Chris Foy,39335,29.3,70.7,3,1,12,16,456,905,267,684,22,24,32,28,11,4,1,2,2,2,0,0,13,11,,
2011/12,Bolton,Fulham,0,3,University of Bolton Stadium,https://www.premierleague.com/match/7777,32,2012-04-07,4,7,6,Mike Dean,21939,52.4,47.6,1,6,12,11,633,627,449,428,12,17,26,43,5,3,0,4,1,0,0,0,12,10,,
2011/12,Chelsea,Wigan,2,1,Stamford Bridge,https://www.premierleague.com/match/7778,32,2012-04-07,4,7,6,Mike Jones,40651,54.7,45.3,8,4,20,11,636,557,434,368,20,26,16,21,5,3,3,5,2,2,0,0,14,12,,
2011/12,Liverpool,Aston Villa,1,1,Anfield,https://www.premierleague.com/match/7779,32,2012-04-07,4,7,6,Michael Oliver,44321,69.6,30.4,5,2,24,5,826,466,612,261,12,12,16,61,11,3,1,0,1,1,0,0,5,10,,
2011/12,Norwich,Everton,2,2,Carrow Road,https://www.premierleague.com/match/7780,32,2012-04-07,4,7,6,Andre Marriner,26554,48.3,51.7,6,5,15,10,627,673,431,469,17,13,45,25,2,4,3,2,0,3,0,0,7,18,,
2011/12,West Brom,Blackburn,3,0,The Hawthorns,https://www.premierleague.com/match/7783,32,2012-04-07,4,7,6,Lee Probert,23414,47.2,52.8,5,7,13,16,579,631,399,466,15,11,17,19,8,4,7,2,1,1,0,1,7,9,,
2011/12,Stoke,Wolves,2,1,bet365 Stadium,https://www.premierleague.com/match/7781,32,2012-04-07,4,7,6,Mark Halsey,27005,46.2,53.8,4,4,13,12,508,548,298,343,14,13,56,43,3,8,3,1,1,1,0,0,8,12,,
2011/12,Swansea,Newcastle,0,2,Liberty Stadium,https://www.premierleague.com/match/7776,32,2012-04-06,4,6,5,Howard Webb,19874,77.0,23.0,8,3,19,5,1081,439,912,270,13,16,8,18,7,0,0,1,1,1,0,0,10,9,,
2011/12,Blackburn,Man Utd,0,2,Ewood Park,https://www.premierleague.com/match/7775,31,2012-04-03,4,3,2,Howard Webb,26532,26.7,73.3,4,5,11,13,443,915,254,701,15,15,42,40,2,10,0,1,1,1,0,0,11,5,,
2011/12,Newcastle,Liverpool,2,0,St James' Park,https://www.premierleague.com/match/7773,31,2012-04-01,4,1,7,Martin Atkinson,52363,48.6,51.4,3,2,10,9,643,624,453,462,17,19,28,14,3,6,2,5,3,3,0,1,10,12,,
