season,home_team,away_team,goals_h,goals_a,stadium,link,match_week,match_date,month,day,weekday,referee,attendance,possession_h,possession_a,shots_on_target_h,shots_on_target_a,shots_h,shots_a,touches_h,touches_a,passes_h,passes_a,tackles_h,tackles_a,clearances_h,clearances_a,corners_h,corners_a,offsides_h,offsides_a,yellow_cards_h,yellow_cards_a,red_cards_h,red_cards_a,fouls_conceded_h,fouls_conceded_a,formation_h,formation_a
2016/17,Arsenal,Everton,3,1,Emirates Stadium,https://www.premierleague.com/match/14410,38,2017-05-21,5,21,7,Michael Oliver,59976,49.5,50.5,9,7,17,22,621,603,438,428,18,10,30,20,4,6,0,1,2,4,1,0,10,15,3-4-2-1,4-3-3
2016/17,Burnley,West Ham,1,2,Turf Moor,https://www.premierleague.com/match/14411,38,2017-05-21,5,21,7,Robert Madley,21634,44.7,55.3,1,4,9,14,563,660,396,489,12,13,20,24,2,5,0,3,2,2,0,0,11,14,4-4-2,3-4-2-1
2016/17,Chelsea,Sunderland,5,1,Stamford Bridge,https://www.premierleague.com/match/14412,38,2017-05-21,5,21,7,Neil Swarbrick,41618,70.5,29.5,8,3,28,7,813,440,643,269,16,17,4,35,11,1,0,1,1,1,0,0,8,15,3-4-2-1,3-5-1-1
2016/17,Hull,Spurs,1,7,KCOM Stadium,https://www.premierleague.com/match/14413,38,2017-05-21,5,21,7,Andre Marriner,23804,34.7,65.3,4,14,10,19,474,802,310,600,19,14,23,15,2,3,0,0,2,0,0,0,14,5,3-4-2-1,4-2-3-1
2016/17,Leicester,Bournemouth,1,1,King Power Stadium,https://www.premierleague.com/match/14414,38,2017-05-21,5,21,7,Lee Mason,32000,48.6,51.4,4,4,20,10,629,649,412,446,26,20,10,28,9,1,5,1,4,1,0,0,11,10,4-4-2,4-4-1-1
2016/17,Liverpool,Middlesbrough,3,0,Anfield,https://www.premierleague.com/match/14415,38,2017-05-21,5,21,7,Martin Atkinson,53191,73.8,26.2,10,3,25,9,929,434,752,260,14,15,18,30,3,3,1,0,0,1,0,0,13,8,4-1-2-1-2,4-3-3
2016/17,Man Utd,Crystal Palace,2,0,Old Trafford,https://www.premierleague.com/match/14416,38,2017-05-21,5,21,7,Anthony Taylor,75254,58.8,41.2,2,1,9,6,727,537,542,360,25,14,34,5,3,6,0,1,2,0,0,0,16,10,4-3-3,4-3-3
2016/17,Southampton,Stoke,0,1,St. Mary's Stadium,https://www.premierleague.com/match/14417,38,2017-05-21,5,21,7,Lee Probert,31286,61.0,39.0,6,3,15,14,686,510,512,319,11,16,21,29,4,10,3,2,2,4,0,0,12,10,4-2-3-1,3-4-2-1
2016/17,Swansea,West Brom,2,1,Liberty Stadium,https://www.premierleague.com/match/14418,38,2017-05-21,5,21,7,Mike Dean,20889,65.3,34.7,2,5,12,16,795,500,589,316,17,18,17,24,7,4,1,0,1,1,0,0,8,10,4-3-3,3-5-1-1
2016/17,Watford,Man City,0,5,Vicarage Road,https://www.premierleague.com/match/14419,38,2017-05-21,5,21,7,Jonathan Moss,20829,32.9,67.1,3,9,6,15,440,789,297,620,20,19,6,13,4,5,0,2,1,0,0,0,12,10,4-2-3-1,4-2-3-1
2016/17,Leicester,Spurs,1,6,King Power Stadium,https://www.premierleague.com/match/14375,37,2017-05-18,5,18,4,Michael Oliver,31351,37.3,62.7,5,12,12,26,519,781,321,561,24,17,16,28,4,4,4,2,3,1,0,0,11,8,4-4-2,3-4-2-1
2016/17,Southampton,Man Utd,0,0,St. Mary's Stadium,https://www.premierleague.com/match/14319,37,2017-05-17,5,17,3,Mike Dean,31425,52.8,47.2,6,1,17,11,647,616,484,450,12,9,11,32,7,3,0,3,2,1,0,0,7,10,4-3-3,4-2-3-1
2016/17,Arsenal,Sunderland,2,0,Emirates Stadium,https://www.premierleague.com/match/14370,37,2017-05-16,5,16,2,Roger East,59510,62.5,37.5,13,2,36,6,744,508,543,336,9,15,17,32,17,3,2,3,4,2,0,0,15,10,3-4-2-1,3-5-2
2016/17,Man City,West Brom,3,1,Etihad Stadium,https://www.premierleague.com/match/14377,37,2017-05-16,5,16,2,Craig Pawson,53624,70.8,29.2,10,2,21,5,870,456,686,282,24,11,10,17,7,1,2,1,1,2,0,0,8,11,4-1-4-1,4-1-4-1
2016/17,Chelsea,Watford,4,3,Stamford Bridge,https://www.premierleague.com/match/14313,37,2017-05-15,5,15,1,Lee Mason,41473,47.1,52.9,9,3,24,9,662,713,456,522,32,12,14,17,8,3,4,2,2,4,0,1,7,12,3-4-2-1,3-5-1-1
2016/17,Crystal Palace,Hull,4,0,Selhurst Park,https://www.premierleague.com/match/14401,37,2017-05-14,5,14,7,Martin Atkinson,25176,29.7,70.3,4,0,12,9,384,659,200,487,19,13,38,16,3,7,3,1,3,5,0,0,13,14,4-2-3-1,4-4-1-1
2016/17,West Ham,Liverpool,0,4,London Stadium,https://www.premierleague.com/match/14409,37,2017-05-14,5,14,7,Neil Swarbrick,56985,33.3,66.7,3,11,10,26,462,765,289,594,14,16,21,13,4,6,3,3,2,0,0,0,5,10,3-4-2-1,4-1-2-1-2
2016/17,Spurs,Man Utd,2,1,White Hart Lane,https://www.premierleague.com/match/14407,37,2017-05-14,5,14,7,Jonathan Moss,31848,60.0,40.0,7,2,14,8,724,564,530,356,18,17,16,33,8,3,2,1,1,2,0,0,14,15,4-2-3-1,4-2-3-1
2016/17,Man City,Leicester,2,1,Etihad Stadium,https://www.premierleague.com/match/14403,37,2017-05-13,5,13,6,Robert Madley,54407,65.8,34.2,5,4,17,9,740,453,541,276,15,17,29,21,9,3,0,0,3,3,0,0,12,16,4-1-4-1,4-4-2
2016/17,Bournemouth,Burnley,2,1,Vitality Stadium,https://www.premierleague.com/match/14400,37,2017-05-13,5,13,6,Lee Probert,11388,54.9,45.1,6,3,18,14,675,561,488,397,11,21,25,14,7,1,3,5,0,1,0,0,6,11,4-4-1-1,4-4-2
