season,home_team,away_team,goals_h,goals_a,stadium,link,match_week,match_date,month,day,weekday,referee,attendance,possession_h,possession_a,shots_on_target_h,shots_on_target_a,shots_h,shots_a,touches_h,touches_a,passes_h,passes_a,tackles_h,tackles_a,clearances_h,clearances_a,corners_h,corners_a,offsides_h,offsides_a,yellow_cards_h,yellow_cards_a,red_cards_h,red_cards_a,fouls_conceded_h,fouls_conceded_a,formation_h,formation_a
2019/20,Arsenal,Watford,3,2,Emirates Stadium,https://www.premierleague.com/match/46975,38,2020-07-26,7,26,7,Mike Dean,,51.1,48.9,5,6,13,19,626,589,442,398,14,7,25,6,4,8,1,3,3,3,0,0,9,12,4-2-3-1,4-2-2-2
2019/20,Burnley,Brighton,1,2,Turf Moor,https://www.premierleague.com/match/46976,38,2020-07-26,7,26,7,Jonathan Moss,,54.2,45.8,2,4,13,15,561,520,378,334,20,6,3,31,6,7,3,2,3,0,0,0,11,11,4-4-2,3-4-1-2
2019/20,Chelsea,Wolves,2,0,Stamford Bridge,https://www.premierleague.com/match/46977,38,2020-07-26,7,26,7,Stuart Attwell,,62.9,37.1,3,1,11,5,833,561,629,370,30,22,14,6,3,3,3,1,2,3,0,0,10,16,3-4-3,3-4-3
2019/20,Crystal Palace,Spurs,1,1,Selhurst Park,https://www.premierleague.com/match/46978,38,2020-07-26,7,26,7,Andre Marriner,,47.2,52.8,2,2,13,7,637,693,422,489,22,26,11,17,7,2,1,0,3,2,0,0,11,13,4-4-2,4-2-3-1
2019/20,Everton,Bournemouth,1,3,Goodison Park,https://www.premierleague.com/match/46979,38,2020-07-26,7,26,7,Chris Kavanagh,,70.0,30.0,5,7,13,13,916,507,687,282,26,18,23,12,2,5,0,1,1,0,0,0,11,9,4-2-3-1,4-4-2
2019/20,Leicester,Man Utd,0,2,King Power Stadium,https://www.premierleague.com/match/46980,38,2020-07-26,7,26,7,Martin Atkinson,,45.8,54.2,3,3,14,7,623,681,425,518,23,21,12,8,3,3,2,2,1,5,1,0,12,11,3-5-2,4-2-3-1
2019/20,Man City,Norwich,5,0,Etihad Stadium,https://www.premierleague.com/match/46981,38,2020-07-26,7,26,7,Craig Pawson,,73.1,26.9,10,4,31,5,900,415,722,268,12,14,5,26,9,0,0,2,1,1,0,0,7,4,4-3-3,4-2-3-1
2019/20,Newcastle,Liverpool,1,3,St. James' Park,https://www.premierleague.com/match/46982,38,2020-07-26,7,26,7,Anthony Taylor,,25.3,74.7,2,6,3,14,428,981,267,792,23,12,23,8,2,4,3,1,1,0,0,0,11,5,3-5-2,4-3-3
2019/20,Southampton,Sheffield Utd,3,1,St. Mary's Stadium,https://www.premierleague.com/match/46983,38,2020-07-26,7,26,7,Peter Bankes,,72.1,27.9,4,3,13,5,864,417,684,260,11,12,8,34,9,1,2,2,0,1,0,0,9,16,4-4-2,3-5-2
2019/20,West Ham,Aston Villa,1,1,London Stadium,https://www.premierleague.com/match/46984,38,2020-07-26,7,26,7,Michael Oliver,,63.0,37.0,1,4,10,13,655,444,480,277,15,13,26,11,0,7,0,1,2,1,0,0,16,13,4-2-3-1,4-1-4-1
2019/20,Man Utd,West Ham,1,1,Old Trafford,https://www.premierleague.com/match/46969,37,2020-07-22,7,22,3,Paul Tierney,,57.2,42.8,4,3,11,12,775,613,609,441,9,20,8,18,2,3,3,1,3,1,0,0,10,9,4-2-3-1,4-2-3-1
2019/20,Liverpool,Chelsea,5,3,Anfield,https://www.premierleague.com/match/46968,37,2020-07-22,7,22,3,Andre Marriner,,50.0,50.0,7,5,10,10,749,752,584,575,19,9,14,15,6,0,0,3,1,0,0,0,8,11,4-3-3,3-4-2-1
2019/20,Watford,Man City,0,4,Vicarage Road,https://www.premierleague.com/match/46973,37,2020-07-21,7,21,2,Michael Oliver,,23.1,76.9,0,10,2,26,410,941,232,764,18,22,21,11,0,8,4,3,2,0,0,0,14,11,4-5-1,4-3-3
2019/20,Aston Villa,Arsenal,1,0,Villa Park,https://www.premierleague.com/match/46965,37,2020-07-21,7,21,2,Chris Kavanagh,,31.0,69.0,3,0,8,7,439,771,264,606,16,3,32,18,8,9,1,1,2,4,0,0,13,19,4-3-3,3-4-3
2019/20,Brighton,Newcastle,0,0,Amex Stadium,https://www.premierleague.com/match/46967,37,2020-07-20,7,20,1,Simon Hooper,,62.5,37.5,3,1,11,12,725,497,542,315,12,15,19,23,9,7,1,1,4,2,0,0,13,12,4-2-3-1,3-5-2
2019/20,Sheffield Utd,Everton,0,1,Bramall Lane,https://www.premierleague.com/match/46971,37,2020-07-20,7,20,1,Stuart Attwell,,50.6,49.4,0,2,8,5,651,660,468,472,17,10,12,29,7,1,1,2,1,3,0,0,11,19,3-5-2,4-2-3-1
2019/20,Wolves,Crystal Palace,2,0,Molineux Stadium,https://www.premierleague.com/match/46974,37,2020-07-20,7,20,1,Peter Bankes,,53.4,46.6,5,3,11,7,651,594,465,404,18,13,14,18,5,2,0,1,2,1,0,0,11,15,3-4-3,4-4-2
2019/20,Bournemouth,Southampton,0,2,Vitality Stadium,https://www.premierleague.com/match/46966,37,2020-07-19,7,19,7,Craig Pawson,,43.0,57.0,3,8,11,16,506,634,288,407,17,22,11,47,12,6,2,1,2,2,0,0,12,11,4-4-2,4-4-2
2019/20,Spurs,Leicester,3,0,Tottenham Hotspur Stadium,https://www.premierleague.com/match/46972,37,2020-07-19,7,19,7,Anthony Taylor,,29.0,71.0,3,6,7,24,465,893,285,697,17,12,30,7,4,13,4,0,2,1,0,0,15,10,4-2-3-1,3-4-3
2019/20,Norwich,Burnley,0,2,Carrow Road,https://www.premierleague.com/match/46970,37,2020-07-18,7,18,6,Kevin Friend,,42.3,57.7,2,8,6,23,516,638,354,468,6,13,23,8,6,8,1,1,2,0,0,0,9,16,4-2-3-1,4-4-2
2019/20,West Ham,Watford,3,1,London Stadium,https://www.premierleague.com/match/46964,36,2020-07-17,7,17,5,Martin Atkinson,,40.6,59.4,4,3,10,14,497,652,297,439,13,16,28,18,9,3,1,2,0,2,0,0,11,11,4-2-3-1,4-2-3-1
2019/20,Everton,Aston Villa,1,1,Goodison Park,https://www.premierleague.com/match/46959,36,2020-07-16,7,16,4,Anthony Taylor,,54.9,45.1,1,1,9,15,622,527,443,362,10,9,20,14,5,5,0,0,2,1,0,0,15,13,4-4-2,4-3-3
2019/20,Leicester,Sheffield Utd,2,0,King Power Stadium,https://www.premierleague.com/match/46960,36,2020-07-16,7,16,4,Michael Oliver,,54.4,45.6,7,1,15,5,658,586,472,401,18,10,24,24,9,5,3,4,1,2,0,0,12,10,3-4-3,3-5-2
2019/20,Crystal Palace,Man Utd,0,2,Selhurst Park,https://www.premierleague.com/match/46958,36,2020-07-16,7,16,4,Graham Scott,,40.6,59.4,5,5,13,17,626,827,428,625,26,14,18,13,2,7,1,0,1,2,0,0,10,15,4-4-2,4-2-3-1
2019/20,Southampton,Brighton,1,1,St. Mary's Stadium,https://www.premierleague.com/match/46963,36,2020-07-16,7,16,4,Andre Marriner,,67.9,32.1,6,2,21,10,787,465,597,281,15,18,8,21,8,2,1,2,1,0,0,0,6,10,4-4-2,3-4-1-2
2019/20,Burnley,Wolves,1,1,Turf Moor,https://www.premierleague.com/match/46956,36,2020-07-15,7,15,3,Mike Dean,,46.7,53.3,1,5,9,14,522,598,359,413,12,9,21,20,3,8,0,0,1,1,0,0,10,8,4-4-2,3-4-3
2019/20,Man City,Bournemouth,2,1,Etihad Stadium,https://www.premierleague.com/match/46961,36,2020-07-15,7,15,3,Lee Mason,,72.5,27.5,4,3,8,15,923,435,756,275,15,9,25,10,3,5,2,2,1,1,0,0,10,10,4-2-3-1,4-1-4-1
2019/20,Newcastle,Spurs,1,3,St. James' Park,https://www.premierleague.com/match/46962,36,2020-07-15,7,15,3,David Coote,,52.8,47.2,6,5,22,8,662,623,503,456,14,14,9,21,5,4,0,1,2,3,0,0,6,13,5-3-2,4-3-3
2019/20,Arsenal,Liverpool,2,1,Emirates Stadium,https://www.premierleague.com/match/46955,36,2020-07-15,7,15,3,Paul Tierney,,31.1,68.9,2,8,3,24,456,816,286,614,21,12,24,3,2,13,5,4,3,1,0,0,14,10,3-4-3,4-3-3
2019/20,Chelsea,Norwich,1,0,Stamford Bridge,https://www.premierleague.com/match/46957,36,2020-07-14,7,14,2,Jonathan Moss,,67.7,32.3,6,0,22,2,950,540,772,374,8,15,6,21,8,1,0,1,2,2,0,0,10,9,4-3-3,4-1-4-1
2019/20,Man Utd,Southampton,2,2,Old Trafford,https://www.premierleague.com/match/46949,35,2020-07-13,7,13,1,Chris Kavanagh,,47.5,52.5,4,5,8,9,654,684,463,510,13,10,20,16,4,6,1,0,1,3,0,0,14,15,4-2-3-1,4-4-2
2019/20,Wolves,Everton,3,0,Molineux Stadium,https://www.premierleague.com/match/46954,35,2020-07-12,7,12,7,Anthony Taylor,,55.1,44.9,7,2,14,6,717,595,564,450,9,10,11,13,5,2,1,0,0,2,0,0,9,9,3-4-3,3-5-2
2019/20,Aston Villa,Crystal Palace,2,0,Villa Park,https://www.premierleague.com/match/46945,35,2020-07-12,7,12,7,Martin Atkinson,,44.9,55.1,9,5,12,9,494,590,314,386,12,15,12,15,5,1,1,0,2,4,0,1,21,21,4-3-3,4-1-4-1
2019/20,Spurs,Arsenal,2,1,Tottenham Hotspur Stadium,https://www.premierleague.com/match/46952,35,2020-07-12,7,12,7,Michael Oliver,,37.3,62.7,9,4,15,13,542,808,378,636,22,12,21,13,6,5,2,0,5,3,0,0,16,11,4-4-1-1,3-4-3
2019/20,Bournemouth,Leicester,4,1,Vitality Stadium,https://www.premierleague.com/match/46946,35,2020-07-12,7,12,7,Stuart Attwell,,44.1,55.9,4,5,9,13,611,729,424,545,6,17,20,13,2,6,4,1,2,1,0,1,11,12,4-4-2,3-4-1-2
2019/20,Norwich,West Ham,0,4,Carrow Road,https://www.premierleague.com/match/46950,35,2020-07-11,7,11,6,Kevin Friend,,52.5,47.5,2,7,11,19,695,633,542,478,16,12,16,8,1,6,1,0,1,0,0,0,9,8,4-2-3-1,4-2-3-1
2019/20,Watford,Newcastle,2,1,Vicarage Road,https://www.premierleague.com/match/46953,35,2020-07-11,7,11,6,Craig Pawson,,47.7,52.3,5,4,17,8,488,531,316,353,12,13,10,21,2,4,3,3,1,4,0,0,23,15,4-2-3-1,4-4-1-1
2019/20,Liverpool,Burnley,1,1,Anfield,https://www.premierleague.com/match/46948,35,2020-07-11,7,11,6,David Coote,,70.8,29.2,9,2,23,6,857,436,659,265,10,11,17,36,11,6,2,3,1,2,0,0,7,4,4-3-3,4-4-2
2019/20,Sheffield Utd,Chelsea,3,0,Bramall Lane,https://www.premierleague.com/match/46951,35,2020-07-11,7,11,6,Andre Marriner,,23.7,76.3,4,4,9,15,408,981,251,809,7,8,37,12,4,6,1,0,1,0,0,0,8,6,3-5-2,4-3-3
2019/20,Brighton,Man City,0,5,Amex Stadium,https://www.premierleague.com/match/46947,35,2020-07-11,7,11,6,Graham Scott,,29.8,70.2,0,8,3,26,476,975,335,799,12,16,15,9,2,7,6,1,1,0,0,0,7,3,4-4-1-1,4-3-3
2019/20,Bournemouth,Spurs,0,0,Vitality Stadium,https://www.premierleague.com/match/46937,34,2020-07-09,7,9,4,Paul Tierney,,35.7,64.3,2,0,9,9,478,715,271,499,15,21,26,38,8,12,1,0,3,2,0,0,11,14,4-4-2,4-3-3
2019/20,Everton,Southampton,1,1,Goodison Park,https://www.premierleague.com/match/46940,34,2020-07-09,7,9,4,Lee Mason,,38.7,61.3,4,4,11,16,522,697,330,518,12,13,26,12,3,5,3,2,3,3,0,0,13,14,4-4-2,4-4-2
2019/20,Aston Villa,Man Utd,0,3,Villa Park,https://www.premierleague.com/match/46936,34,2020-07-09,7,9,4,Jonathan Moss,,33.4,66.6,1,6,9,14,473,789,310,637,9,11,16,11,3,5,2,1,2,3,0,0,7,13,4-4-1-1,4-2-3-1
2019/20,Man City,Newcastle,5,0,Etihad Stadium,https://www.premierleague.com/match/46941,34,2020-07-08,7,8,3,Andy Madley,,73.6,26.4,9,1,23,6,1000,450,843,296,5,15,11,14,8,1,0,0,2,0,0,0,13,7,4-3-3,4-4-1-1
