season,home_team,away_team,goals_h,goals_a,stadium,link,match_week,match_date,month,day,weekday,referee,attendance,possession_h,possession_a,shots_on_target_h,shots_on_target_a,shots_h,shots_a,touches_h,touches_a,passes_h,passes_a,tackles_h,tackles_a,clearances_h,clearances_a,corners_h,corners_a,offsides_h,offsides_a,yellow_cards_h,yellow_cards_a,red_cards_h,red_cards_a,fouls_conceded_h,fouls_conceded_a,formation_h,formation_a
2008/09,Arsenal,Stoke,4,1,Emirates Stadium,https://www.premierleague.com/match/6697,39,2009-05-24,5,24,7,Martin Atkinson,60082.0,70.8,29.2,9,2,26,4,849,453,663,258,18,25,14,34,6,0,0,1,1,0,0,0,10,11,,
2008/09,Aston Villa,Newcastle,1,0,Villa Park,https://www.premierleague.com/match/6698,39,2009-05-24,5,24,7,Chris Foy,42585.0,52.8,47.2,2,4,14,10,621,551,381,346,16,19,56,31,5,3,3,0,0,1,0,1,9,10,,
2008/09,Blackburn,West Brom,0,0,Ewood Park,https://www.premierleague.com/match/6699,39,2009-05-24,5,24,7,Mike Jones,28389.0,48.8,51.2,1,2,10,17,536,582,315,337,20,11,16,30,4,9,3,3,0,1,1,0,14,11,,
2008/09,Fulham,Everton,0,2,Craven Cottage,https://www.premierleague.com/match/6700,39,2009-05-24,5,24,7,Michael Riley,25497.0,50.4,49.6,4,10,15,18,671,653,423,408,14,15,28,20,2,2,0,0,2,5,0,0,16,12,,
2008/09,Hull,Man Utd,0,1,KCOM Stadium,https://www.premierleague.com/match/6701,39,2009-05-24,5,24,7,Alan Wiley,24945.0,34.9,65.1,8,4,14,13,480,759,229,473,32,21,29,55,8,3,3,0,2,1,0,0,17,12,,
2008/09,Liverpool,Spurs,3,1,Anfield,https://www.premierleague.com/match/6702,39,2009-05-24,5,24,7,Peter Walton,43937.0,53.4,46.6,3,4,19,8,701,626,496,424,22,21,21,30,9,2,0,0,0,1,0,0,15,5,,
2008/09,Man City,Bolton,1,0,Etihad Stadium,https://www.premierleague.com/match/6703,39,2009-05-24,5,24,7,Mark Clattenburg,47202.0,61.6,38.4,11,1,29,9,705,495,428,239,22,27,44,27,15,9,0,0,3,1,0,0,9,11,,
2008/09,Sunderland,Chelsea,2,3,Stadium of Light,https://www.premierleague.com/match/6704,39,2009-05-24,5,24,7,Mark Halsey,42468.0,37.1,62.9,4,10,12,19,580,830,320,574,29,15,27,34,6,7,3,0,1,1,0,0,8,7,,
2008/09,West Ham,Middlesbrough,2,1,Boleyn Ground,https://www.premierleague.com/match/6705,39,2009-05-24,5,24,7,Howard Webb,34007.0,52.1,47.9,5,5,16,18,703,657,430,387,20,20,47,14,4,5,5,0,0,1,0,0,16,10,,
2008/09,Wigan,Portsmouth,1,0,DW Stadium,https://www.premierleague.com/match/6706,39,2009-05-24,5,24,7,Phil Dowd,17696.0,53.4,46.6,7,1,21,9,572,517,314,270,28,17,34,52,9,2,1,1,0,4,0,0,9,23,,
2008/09,Portsmouth,Sunderland,3,1,Fratton Park,https://www.premierleague.com/match/6696,38,2009-05-19,5,19,2,Alan Wiley,20398.0,43.9,56.1,2,7,9,24,609,695,367,490,19,29,50,28,5,6,0,1,1,0,0,0,11,7,,
2008/09,West Brom,Liverpool,0,2,The Hawthorns,https://www.premierleague.com/match/6695,38,2009-05-17,5,17,7,Martin Atkinson,26138.0,36.7,63.3,4,8,14,19,593,835,298,559,21,38,37,41,11,5,4,2,2,0,0,0,14,4,,
2008/09,Chelsea,Blackburn,2,0,Stamford Bridge,https://www.premierleague.com/match/6694,38,2009-05-17,5,17,7,Rob Styles,,58.5,41.5,8,3,23,10,818,635,548,383,24,22,36,27,2,4,2,2,1,2,0,0,7,6,,
2008/09,Man Utd,Arsenal,0,0,Old Trafford,https://www.premierleague.com/match/6689,38,2009-05-16,5,16,6,Mike Dean,75468.0,39.4,60.6,0,4,10,14,613,833,346,542,21,27,36,23,2,6,4,0,0,5,0,0,14,18,,
2008/09,Bolton,Hull,1,1,University of Bolton Stadium,https://www.premierleague.com/match/6687,38,2009-05-16,5,16,6,Peter Walton,25085.0,46.9,53.1,5,8,15,21,562,578,290,312,24,20,81,45,5,7,2,4,2,2,0,0,15,9,,
2008/09,Everton,West Ham,3,1,Goodison Park,https://www.premierleague.com/match/6688,38,2009-05-16,5,16,6,Phil Dowd,38501.0,65.6,34.4,7,4,19,11,828,528,560,296,17,18,42,39,6,3,1,4,1,2,0,1,15,15,,
2008/09,Middlesbrough,Aston Villa,1,1,Riverside Stadium,https://www.premierleague.com/match/6690,38,2009-05-16,5,16,6,Michael Riley,27261.0,50.2,49.8,3,5,14,10,611,627,326,310,21,26,43,57,6,9,3,3,0,2,0,0,15,18,,
2008/09,Newcastle,Fulham,0,1,Sports Direct Arena,https://www.premierleague.com/match/6691,38,2009-05-16,5,16,6,Howard Webb,52114.0,52.5,47.5,5,3,16,13,689,668,428,414,15,23,7,64,6,2,0,3,0,3,1,0,6,18,,
2008/09,Stoke,Wigan,2,0,bet365 Stadium,https://www.premierleague.com/match/6692,38,2009-05-16,5,16,6,Lee Probert,25641.0,47.0,53.0,6,1,17,10,576,651,306,358,23,26,28,57,6,3,0,0,0,2,0,0,10,13,,
2008/09,Spurs,Man City,2,1,White Hart Lane,https://www.premierleague.com/match/6693,38,2009-05-16,5,16,6,Mark Halsey,36000.0,52.1,47.9,6,4,16,12,753,693,455,423,20,25,31,31,4,7,3,2,0,1,0,0,5,8,,
2008/09,Wigan,Man Utd,1,2,DW Stadium,https://www.premierleague.com/match/6686,37,2009-05-14,5,14,4,Rob Styles,21286.0,33.5,66.5,3,4,11,20,556,915,310,625,32,21,23,40,5,4,0,0,0,4,0,0,14,4,,
2008/09,Newcastle,Middlesbrough,3,1,Sports Direct Arena,https://www.premierleague.com/match/6685,37,2009-05-12,5,12,2,Mike Dean,51252.0,52.4,47.6,6,3,19,11,573,534,336,313,15,27,36,43,11,1,1,6,3,2,0,0,8,16,,
2008/09,Man Utd,Man City,2,0,Old Trafford,https://www.premierleague.com/match/6684,37,2009-05-10,5,10,7,Chris Foy,75464.0,47.1,52.9,5,2,16,13,697,745,417,475,29,28,24,29,8,7,1,2,1,1,0,0,11,14,,
2008/09,Arsenal,Chelsea,1,4,Emirates Stadium,https://www.premierleague.com/match/6683,37,2009-05-10,5,10,7,Phil Dowd,60075.0,50.5,49.5,6,5,20,18,661,655,447,461,16,27,19,25,6,2,1,3,1,0,0,0,19,14,,
2008/09,Blackburn,Portsmouth,2,0,Ewood Park,https://www.premierleague.com/match/6676,37,2009-05-09,5,9,6,Michael Riley,24234.0,51.4,48.6,3,1,12,9,630,622,377,362,14,17,29,51,4,2,5,0,2,1,0,0,22,14,,
2008/09,Bolton,Sunderland,0,0,University of Bolton Stadium,https://www.premierleague.com/match/6677,37,2009-05-09,5,9,6,Rob Styles,24005.0,40.1,59.9,1,0,8,17,607,815,311,512,24,22,40,53,10,3,1,1,2,0,0,0,12,5,,
2008/09,Everton,Spurs,0,0,Goodison Park,https://www.premierleague.com/match/6678,37,2009-05-09,5,9,6,Lee Mason,36646.0,51.6,48.4,15,4,678,643,407,375,19,20,24,38,4,5,3,1,0,0,2,3,0,0,18,12,,
2008/09,Fulham,Aston Villa,3,1,Craven Cottage,https://www.premierleague.com/match/6679,37,2009-05-09,5,9,6,Mark Halsey,25660.0,49.8,50.2,9,3,18,11,685,677,415,401,20,20,42,26,6,5,0,2,1,0,0,0,12,11,,
2008/09,Hull,Stoke,1,2,KCOM Stadium,https://www.premierleague.com/match/6680,37,2009-05-09,5,9,6,Howard Webb,24932.0,62.1,37.9,5,3,13,11,669,499,398,237,12,20,45,80,5,3,2,5,0,1,0,0,13,18,,
2008/09,West Brom,Wigan,3,1,The Hawthorns,https://www.premierleague.com/match/6681,37,2009-05-09,5,9,6,Peter Walton,24741.0,54.9,45.1,9,5,17,18,693,619,373,300,32,30,47,27,5,2,2,3,2,0,0,0,12,8,,
2008/09,West Ham,Liverpool,0,3,Boleyn Ground,https://www.premierleague.com/match/6682,37,2009-05-09,5,9,6,Alan Wiley,34951.0,53.2,46.8,1,7,8,19,810,710,516,455,15,45,21,28,2,4,3,1,3,2,0,0,11,18,,
2008/09,Aston Villa,Hull,1,0,Villa Park,https://www.premierleague.com/match/6675,36,2009-05-05,5,5,2,Mike Dean,39607.0,52.0,48.0,6,4,15,16,688,632,384,373,15,21,44,37,13,7,5,3,0,2,0,0,13,9,,
2008/09,Liverpool,Newcastle,3,0,Anfield,https://www.premierleague.com/match/6673,36,2009-05-03,5,3,7,Phil Dowd,44121.0,59.6,40.4,11,0,31,5,789,599,523,362,24,12,22,33,7,1,5,5,0,2,0,1,6,8,,
2008/09,Sunderland,Everton,0,2,Stadium of Light,https://www.premierleague.com/match/6674,36,2009-05-03,5,3,7,Martin Atkinson,41313.0,41.4,58.6,2,6,12,12,545,724,314,455,17,18,32,47,8,3,2,7,3,4,0,0,16,13,,
2008/09,Chelsea,Fulham,3,1,Stamford Bridge,https://www.premierleague.com/match/6666,36,2009-05-02,5,2,6,Alan Wiley,41801.0,59.3,40.7,4,2,15,11,882,659,641,438,18,9,24,29,5,4,1,0,0,1,0,0,7,7,,
2008/09,Man City,Blackburn,3,1,Etihad Stadium,https://www.premierleague.com/match/6667,36,2009-05-02,5,2,6,Mike Dean,43967.0,49.9,50.1,3,6,11,16,700,678,436,446,10,16,56,19,7,6,1,1,2,3,0,0,11,15,,
2008/09,Portsmouth,Arsenal,0,3,Fratton Park,https://www.premierleague.com/match/6669,36,2009-05-02,5,2,6,Lee Mason,20418.0,37.3,62.7,4,7,12,15,599,867,341,592,27,26,32,32,5,11,2,2,3,1,1,0,8,12,,
2008/09,Stoke,West Ham,0,1,bet365 Stadium,https://www.premierleague.com/match/6670,36,2009-05-02,5,2,6,Peter Walton,27500.0,41.5,58.5,2,3,12,8,549,692,268,407,24,24,36,65,7,0,1,2,3,2,0,0,9,11,,
2008/09,Spurs,West Brom,1,0,White Hart Lane,https://www.premierleague.com/match/6671,36,2009-05-02,5,2,6,Rob Styles,35836.0,53.5,46.5,5,4,21,11,775,667,454,397,24,27,35,23,9,7,2,4,1,1,0,0,7,8,,
2008/09,Wigan,Bolton,0,0,DW Stadium,https://www.premierleague.com/match/6672,36,2009-05-02,5,2,6,Mike Jones,18655.0,55.3,44.7,6,1,25,10,649,569,329,269,20,26,41,63,9,6,3,4,2,3,0,0,13,12,,
2008/09,Middlesbrough,Man Utd,0,2,Riverside Stadium,https://www.premierleague.com/match/6668,36,2009-05-02,5,2,6,Mark Halsey,33767.0,46.7,53.3,2,2,15,14,674,748,396,462,26,19,26,41,3,3,2,3,1,1,0,0,7,9,,
2008/09,Newcastle,Portsmouth,0,0,Sports Direct Arena,https://www.premierleague.com/match/6665,35,2009-04-28,4,28,2,Michael Riley,,51.7,48.3,4,3,14,17,658,667,400,376,18,25,38,35,7,11,1,1,2,2,0,0,14,10,,
2008/09,Arsenal,Middlesbrough,2,0,Emirates Stadium,https://www.premierleague.com/match/6663,35,2009-04-26,4,26,7,Chris Foy,60089.0,63.7,36.3,7,3,18,5,889,606,625,340,18,20,27,32,8,1,0,0,1,4,0,0,8,15,,
2008/09,Blackburn,Wigan,2,0,Ewood Park,https://www.premierleague.com/match/6664,35,2009-04-26,4,26,7,Peter Walton,25019.0,49.4,50.6,6,9,12,24,531,568,282,282,14,16,46,58,4,8,0,0,6,2,0,0,12,11,,
