season,home_team,away_team,goals_h,goals_a,stadium,link,match_week,match_date,month,day,weekday,referee,attendance,possession_h,possession_a,shots_on_target_h,shots_on_target_a,shots_h,shots_a,touches_h,touches_a,passes_h,passes_a,tackles_h,tackles_a,clearances_h,clearances_a,corners_h,corners_a,offsides_h,offsides_a,yellow_cards_h,yellow_cards_a,red_cards_h,red_cards_a,fouls_conceded_h,fouls_conceded_a,formation_h,formation_a
2018/19,Brighton,Man City,1,4,Amex Stadium,https://www.premierleague.com/match/38678,38,2019-05-12,5,12,7,Michael Oliver,30662,23.7,76.3,2,9,6,20,401,955,245,796,16,15,41,5,2,6,0,0,1,1,0,0,12,8,4-5-1,4-4-1-1
2018/19,Burnley,Arsenal,1,3,Turf Moor,https://www.premierleague.com/match/38679,38,2019-05-12,5,12,7,Mike Dean,21461,39.7,60.3,5,6,14,17,527,714,341,533,15,11,21,27,4,5,4,0,5,1,0,0,11,3,4-4-2,4-2-3-1
2018/19,Crystal Palace,Bournemouth,5,3,Selhurst Park,https://www.premierleague.com/match/38680,38,2019-05-12,5,12,7,Roger East,25433,45.0,55.0,8,8,17,16,627,713,429,517,16,18,23,19,4,4,4,1,3,0,0,0,11,8,4-4-2,4-4-1-1
2018/19,Fulham,Newcastle,0,4,Craven Cottage,https://www.premierleague.com/match/38681,38,2019-05-12,5,12,7,Kevin Friend,24979,68.1,31.9,2,6,16,13,940,532,765,358,12,15,7,38,5,5,1,1,1,0,0,0,6,8,4-2-3-1,5-4-1
2018/19,Leicester,Chelsea,0,0,King Power Stadium,https://www.premierleague.com/match/38682,38,2019-05-12,5,12,7,Anthony Taylor,32140,46.9,53.1,3,4,9,14,644,711,470,533,16,12,17,16,4,5,1,2,0,1,0,0,9,8,4-1-4-1,4-3-3
2018/19,Liverpool,Wolves,2,0,Anfield,https://www.premierleague.com/match/38683,38,2019-05-12,5,12,7,Martin Atkinson,53331,59.0,41.0,5,2,13,7,784,581,603,427,16,14,15,20,4,1,3,1,0,2,0,0,3,11,4-3-3,3-5-2
2018/19,Man Utd,Cardiff,0,2,Old Trafford,https://www.premierleague.com/match/38684,38,2019-05-12,5,12,7,Jonathan Moss,74457,73.6,26.4,10,4,26,13,811,404,620,223,15,16,13,20,11,2,3,0,3,3,0,0,9,6,4-3-1-2,4-4-1-1
2018/19,Southampton,Huddersfield,1,1,St. Mary's Stadium,https://www.premierleague.com/match/38685,38,2019-05-12,5,12,7,Lee Probert,30367,53.7,46.3,3,3,10,10,659,579,447,388,12,27,16,26,4,3,1,2,0,1,0,0,8,6,4-4-2,4-3-3
2018/19,Spurs,Everton,2,2,Tottenham Hotspur Stadium,https://www.premierleague.com/match/38686,38,2019-05-12,5,12,7,Andre Marriner,60124,55.0,45.0,3,9,11,16,740,638,543,436,22,16,17,17,7,4,2,1,0,2,0,0,10,13,4-2-3-1,4-2-3-1
2018/19,Watford,West Ham,1,4,Vicarage Road,https://www.premierleague.com/match/38687,38,2019-05-12,5,12,7,Chris Kavanagh,20067,48.3,51.7,8,9,17,16,586,674,419,460,17,15,12,34,7,2,4,1,1,0,1,0,10,10,4-2-2-2,4-1-4-1
2018/19,Man City,Leicester,1,0,Etihad Stadium,https://www.premierleague.com/match/38674,37,2019-05-06,5,6,1,Mike Dean,54506,61.0,39.0,5,2,19,7,817,608,636,416,14,22,10,44,11,0,2,0,3,2,0,0,12,5,4-3-3,4-5-1
