season,home_team,away_team,goals_h,goals_a,stadium,link,match_week,match_date,month,day,weekday,referee,attendance,possession_h,possession_a,shots_on_target_h,shots_on_target_a,shots_h,shots_a,touches_h,touches_a,passes_h,passes_a,tackles_h,tackles_a,clearances_h,clearances_a,corners_h,corners_a,offsides_h,offsides_a,yellow_cards_h,yellow_cards_a,red_cards_h,red_cards_a,fouls_conceded_h,fouls_conceded_a,formation_h,formation_a
2021/22,Arsenal,Everton,5,1,Emirates Stadium,https://www.premierleague.com/match/66712,38,2022-05-22,5,22,7,Andre Marriner,60201.0,73.7,26.3,9,2,26,6,818,388,647,234,12,21,12,30,12,2,2,0,0,1,0,0,8,9,4-2-3-1,5-4-1
2021/22,Brentford,Leeds,1,2,Gtech Community Stadium,https://www.premierleague.com/match/66713,38,2022-05-22,5,22,7,Paul Tierney,16957.0,48.7,51.3,5,6,14,14,599,596,412,438,12,10,24,8,3,2,0,2,2,1,1,0,11,13,4-3-3,4-4-1-1
2021/22,Brighton,West Ham,3,1,Amex Stadium,https://www.premierleague.com/match/66714,38,2022-05-22,5,22,7,Kevin Friend,31604.0,49.9,50.1,7,2,18,7,660,652,489,480,12,14,22,19,5,6,0,0,1,1,0,0,9,9,4-3-2-1,4-2-3-1
2021/22,Burnley,Newcastle,1,2,Turf Moor,https://www.premierleague.com/match/66715,38,2022-05-22,5,22,7,Craig Pawson,21361.0,51.4,48.6,5,6,12,8,542,522,344,338,11,22,13,27,8,2,5,0,1,0,0,0,8,9,4-4-2,4-3-3
2021/22,Chelsea,Watford,2,1,Stamford Bridge,https://www.premierleague.com/match/66716,38,2022-05-22,5,22,7,Mike Dean,32089.0,71.7,28.3,8,3,19,8,930,460,734,281,32,25,12,16,3,3,0,0,0,2,0,0,9,9,3-4-2-1,4-3-3
2021/22,Crystal Palace,Man Utd,1,0,Selhurst Park,https://www.premierleague.com/match/66717,38,2022-05-22,5,22,7,Martin Atkinson,25434.0,38.4,61.6,3,4,6,10,518,712,327,526,8,17,20,11,3,6,2,4,2,4,0,0,12,22,4-3-3,4-2-3-1
2021/22,Leicester,Southampton,4,1,King Power Stadium,https://www.premierleague.com/match/66718,38,2022-05-22,5,22,7,Jonathan Moss,32003.0,50.9,49.1,6,2,12,7,614,598,448,425,20,17,14,9,3,3,1,3,0,1,0,0,10,5,4-2-3-1,4-4-2
2021/22,Liverpool,Wolves,3,1,Anfield,https://www.premierleague.com/match/66719,38,2022-05-22,5,22,7,Anthony Taylor,53097.0,62.9,37.1,8,5,29,7,867,600,669,400,21,18,7,31,5,3,3,1,1,0,0,0,6,3,4-3-3,3-5-2
2021/22,Man City,Aston Villa,3,2,Etihad Stadium,https://www.premierleague.com/match/66720,38,2022-05-22,5,22,7,Michael Oliver,53395.0,71.5,28.5,5,2,24,4,797,412,601,243,11,17,9,30,13,1,1,2,0,2,0,0,5,11,4-3-3,4-3-2-1
2021/22,Norwich,Spurs,0,5,Carrow Road,https://www.premierleague.com/match/66721,38,2022-05-22,5,22,7,Chris Kavanagh,27022.0,40.4,59.6,0,13,9,19,532,761,402,614,14,8,7,12,3,2,0,4,3,1,0,0,13,7,5-4-1,3-4-2-1
2021/22,Everton,Crystal Palace,3,2,Goodison Park,https://www.premierleague.com/match/66663,37,2022-05-19,5,19,4,Anthony Taylor,38448.0,43.2,56.8,6,5,12,7,558,673,347,467,25,20,20,36,4,5,0,3,2,3,0,0,9,12,3-4-2-1,4-3-3
