season,home_team,away_team,goals_h,goals_a,stadium,link,match_week,match_date,month,day,weekday,referee,attendance,possession_h,possession_a,shots_on_target_h,shots_on_target_a,shots_h,shots_a,touches_h,touches_a,passes_h,passes_a,tackles_h,tackles_a,clearances_h,clearances_a,corners_h,corners_a,offsides_h,offsides_a,yellow_cards_h,yellow_cards_a,red_cards_h,red_cards_a,fouls_conceded_h,fouls_conceded_a,formation_h,formation_a
2009/10,Arsenal,Fulham,4,0,Emirates Stadium,https://www.premierleague.com/match/7077,38,2010-05-09,5,9,7,Mike Jones,60039.0,64.3,35.7,6,0,18,3,863,546,646,356,18,27,14,21,5,2,6,4,2,2,0,0,13,10,,
2009/10,Aston Villa,Blackburn,0,1,Villa Park,https://www.premierleague.com/match/7078,38,2010-05-09,5,9,7,Stephen Bennett,41799.0,65.1,34.9,8,1,18,11,645,454,434,238,22,22,28,48,11,5,1,3,2,1,0,0,14,13,,
2009/10,Bolton,Birmingham,2,1,Macron Stadium,https://www.premierleague.com/match/7079,38,2010-05-09,5,9,7,Kevin Friend,22863.0,41.5,58.5,6,7,15,14,548,670,292,432,23,7,46,23,3,6,3,3,2,5,0,0,19,17,,
2009/10,Burnley,Spurs,4,2,Turf Moor,https://www.premierleague.com/match/7080,38,2010-05-09,5,9,7,Mike Dean,21161.0,50.2,49.8,7,6,16,16,653,635,394,370,18,21,42,26,5,6,0,0,1,2,0,0,12,11,,
2009/10,Chelsea,Wigan,8,0,Stamford Bridge,https://www.premierleague.com/match/7081,38,2010-05-09,5,9,7,Martin Atkinson,41383.0,53.1,46.9,10,2,19,4,686,595,466,415,18,13,13,18,2,3,5,3,2,3,0,1,14,10,,
2009/10,Everton,Portsmouth,1,0,Goodison Park,https://www.premierleague.com/match/7082,38,2010-05-09,5,9,7,Peter Walton,38730.0,63.3,36.7,8,4,22,11,786,547,536,320,13,18,14,30,13,1,0,0,0,5,0,0,11,12,,
2009/10,Hull,Liverpool,0,0,KCOM Stadium,https://www.premierleague.com/match/7083,38,2010-05-09,5,9,7,Andre Marriner,25030.0,40.4,59.6,3,3,11,21,593,791,333,523,25,30,34,26,2,6,3,0,1,0,0,0,16,11,,
2009/10,Man Utd,Stoke,4,0,Old Trafford,https://www.premierleague.com/match/7084,38,2010-05-09,5,9,7,Mark Clattenburg,75316.0,60.8,39.2,6,6,21,7,705,535,494,320,25,17,30,32,9,2,2,3,2,0,0,0,11,5,,
2009/10,West Ham,Man City,1,1,Boleyn Ground,https://www.premierleague.com/match/7085,38,2010-05-09,5,9,7,Howard Webb,34989.0,35.9,64.1,5,4,13,18,604,887,332,607,30,24,33,12,4,3,1,3,2,0,0,0,13,7,,
2009/10,Wolves,Sunderland,2,1,Molineux Stadium,https://www.premierleague.com/match/7086,38,2010-05-09,5,9,7,Lee Mason,28971.0,55.3,44.7,7,4,18,11,649,575,388,315,19,21,24,36,4,1,1,4,1,0,0,2,13,20,,
2009/10,Fulham,Stoke,0,1,Craven Cottage,https://www.premierleague.com/match/7075,37,2010-05-06,5,6,4,Peter Walton,20831.0,62.8,37.2,3,2,13,7,828,586,576,343,17,17,30,33,8,3,1,5,1,3,0,0,7,6,,
2009/10,Man City,Spurs,0,1,Etihad Stadium,https://www.premierleague.com/match/7076,37,2010-05-06,5,6,4,Stephen Bennett,47370.0,54.1,45.9,3,4,13,13,666,610,385,332,24,17,21,41,9,8,6,3,0,3,0,0,13,20,,
2009/10,Wigan,Hull,2,2,DW Stadium,https://www.premierleague.com/match/7074,37,2010-05-03,5,3,1,Phil Dowd,20242.0,63.6,36.4,3,3,14,6,832,574,561,313,21,33,17,24,8,1,1,6,2,0,0,0,11,14,,
2009/10,Blackburn,Arsenal,2,1,Ewood Park,https://www.premierleague.com/match/7073,37,2010-05-03,5,3,1,Martin Atkinson,26138.0,29.9,70.1,6,3,11,7,419,707,199,462,20,15,39,39,5,8,4,2,2,2,0,0,20,16,,
2009/10,Liverpool,Chelsea,0,2,Anfield,https://www.premierleague.com/match/7071,37,2010-05-02,5,2,7,Alan Wiley,44375.0,56.2,43.8,1,10,11,17,750,643,492,381,24,25,18,31,9,5,2,4,1,2,0,0,9,7,,
2009/10,Fulham,West Ham,3,2,Craven Cottage,https://www.premierleague.com/match/7070,37,2010-05-02,5,2,7,Andre Marriner,24201.0,49.2,50.8,2,5,7,8,668,716,462,490,25,29,31,40,9,3,0,0,1,3,0,0,14,17,,
2009/10,Sunderland,Man Utd,0,1,Stadium of Light,https://www.premierleague.com/match/7072,37,2010-05-02,5,2,7,Stephen Bennett,47641.0,48.3,51.7,1,5,11,16,703,738,401,438,33,31,28,31,9,4,1,0,3,2,0,0,11,10,,
2009/10,Birmingham,Burnley,2,1,St Andrews,https://www.premierleague.com/match/7065,37,2010-05-01,5,1,6,Peter Walton,24578.0,52.9,47.1,3,4,14,13,700,619,441,379,20,15,26,29,7,8,5,0,2,1,0,0,12,12,,
2009/10,Man City,Aston Villa,3,1,Etihad Stadium,https://www.premierleague.com/match/7066,37,2010-05-01,5,1,6,Mark Clattenburg,47102.0,53.9,46.1,6,4,20,11,708,633,419,362,23,22,34,39,12,4,2,0,1,2,0,0,7,10,,
2009/10,Portsmouth,Wolves,3,1,Fratton Park,https://www.premierleague.com/match/7067,37,2010-05-01,5,1,6,Mike Jones,19213.0,44.3,55.7,6,9,13,20,483,545,284,351,11,13,41,20,7,9,5,2,0,1,0,0,11,13,,
2009/10,Stoke,Everton,0,0,Britannia Stadium,https://www.premierleague.com/match/7068,37,2010-05-01,5,1,6,Howard Webb,27579.0,45.6,54.4,3,2,14,11,561,637,329,376,18,24,24,56,6,5,0,0,1,2,0,0,10,10,,
2009/10,Spurs,Bolton,1,0,White Hart Lane,https://www.premierleague.com/match/7069,37,2010-05-01,5,1,6,Chris Foy,35852.0,55.1,44.9,6,2,20,12,712,578,376,300,21,33,42,38,11,5,5,3,0,3,0,0,13,12,,
