season,home_team,away_team,goals_h,goals_a,stadium,link,match_week,match_date,month,day,weekday,referee,attendance,possession_h,possession_a,shots_on_target_h,shots_on_target_a,shots_h,shots_a,touches_h,touches_a,passes_h,passes_a,tackles_h,tackles_a,clearances_h,clearances_a,corners_h,corners_a,offsides_h,offsides_a,yellow_cards_h,yellow_cards_a,red_cards_h,red_cards_a,fouls_conceded_h,fouls_conceded_a,formation_h,formation_a
2014/15,Arsenal,West Brom,4,1,Emirates Stadium,https://www.premierleague.com/match/9981,38,2015-05-24,5,24,7,Robert Madley,59971,63.7,36.3,13,5,24,14,808,526,637,359,15,20,13,14,7,3,1,3,1,0,0,0,6,7,,
2014/15,Aston Villa,Burnley,0,1,Villa Park,https://www.premierleague.com/match/9982,38,2015-05-24,5,24,7,Mike Jones,40792,63.3,36.7,5,3,17,6,745,486,530,319,9,16,32,32,7,2,1,1,1,2,0,0,11,6,,
2014/15,Chelsea,Sunderland,3,1,Stamford Bridge,https://www.premierleague.com/match/9983,38,2015-05-24,5,24,7,Lee Mason,41620,64.6,35.4,8,9,24,17,803,508,617,342,9,16,9,23,11,3,1,1,2,1,0,0,12,8,,
2014/15,Crystal Palace,Swansea,1,0,Selhurst Park,https://www.premierleague.com/match/9984,38,2015-05-24,5,24,7,Craig Pawson,25076,47.4,52.6,7,2,13,5,566,616,342,389,20,23,23,33,7,3,2,0,3,0,0,0,22,13,,
2014/15,Everton,Spurs,0,1,Goodison Park,https://www.premierleague.com/match/9985,38,2015-05-24,5,24,7,Jonathan Moss,39365,40.4,59.6,1,3,9,16,588,826,409,624,15,15,20,21,3,5,2,4,1,2,0,0,12,8,,
2014/15,Hull,Man Utd,0,0,KCOM Stadium,https://www.premierleague.com/match/9986,38,2015-05-24,5,24,7,Lee Probert,24745,40.9,59.1,6,1,16,7,518,699,336,525,17,17,9,39,8,1,6,0,2,2,0,1,12,15,,
2014/15,Leicester,QPR,5,1,King Power Stadium,https://www.premierleague.com/match/9987,38,2015-05-24,5,24,7,Michael Oliver,31467,45.7,54.3,7,2,22,18,565,628,350,422,16,18,25,25,5,6,0,0,3,1,0,0,7,6,,
2014/15,Man City,Southampton,2,0,Etihad Stadium,https://www.premierleague.com/match/9988,38,2015-05-24,5,24,7,Chris Foy,45919,54.5,45.5,6,4,15,13,670,602,475,393,16,21,29,16,8,4,0,7,1,1,0,0,13,8,,
2014/15,Newcastle,West Ham,2,0,St. James' Park,https://www.premierleague.com/match/9989,38,2015-05-24,5,24,7,Martin Atkinson,52094,40.8,59.2,4,1,17,4,538,687,323,486,25,17,15,31,2,3,1,3,2,1,0,0,9,9,4-2-3-1,4-2-3-1
2014/15,Stoke,Liverpool,6,1,bet365 Stadium,https://www.premierleague.com/match/9990,38,2015-05-24,5,24,7,Anthony Taylor,27602,45.5,54.5,9,4,15,13,637,689,431,514,18,20,23,17,3,9,1,1,4,2,0,0,13,4,4-2-3-1,4-3-3
2014/15,Arsenal,Sunderland,0,0,Emirates Stadium,https://www.premierleague.com/match/9980,37,2015-05-20,5,20,3,Anthony Taylor,59987,75.1,24.9,8,3,28,7,1008,466,798,273,12,20,8,41,5,2,0,1,1,0,0,0,6,8,,
2014/15,West Brom,Chelsea,3,0,The Hawthorns,https://www.premierleague.com/match/9979,37,2015-05-19,5,19,2,Mike Jones,24750,40.5,59.5,5,3,9,12,580,779,422,623,19,16,23,13,3,4,1,1,3,2,0,1,12,11,,
2014/15,Swansea,Man City,2,4,Liberty Stadium,https://www.premierleague.com/match/9978,37,2015-05-17,5,17,7,Mark Clattenburg,20669,47.1,52.9,9,11,13,22,683,732,463,530,20,23,18,14,11,7,0,2,0,3,0,0,8,8,,
2014/15,Man Utd,Arsenal,1,1,Old Trafford,https://www.premierleague.com/match/9977,37,2015-05-17,5,17,7,Mike Dean,75323,57.4,42.6,4,3,12,5,772,639,560,414,37,17,26,22,5,5,8,2,1,0,0,0,16,8,,
2014/15,Southampton,Aston Villa,6,1,St. Mary's Stadium,https://www.premierleague.com/match/9973,37,2015-05-16,5,16,6,Robert Madley,31636,35.6,64.4,11,4,18,9,460,719,295,547,10,7,29,25,6,3,3,1,1,1,0,0,19,7,,
2014/15,Burnley,Stoke,0,0,Turf Moor,https://www.premierleague.com/match/9970,37,2015-05-16,5,16,6,Michael Oliver,18636,45.7,54.3,4,3,11,11,591,683,368,445,11,24,28,44,7,6,1,3,1,2,0,0,14,9,,
2014/15,QPR,Newcastle,2,1,Loftus Road,https://www.premierleague.com/match/9972,37,2015-05-16,5,16,6,Lee Probert,17608,47.5,52.5,4,8,8,22,560,622,315,338,34,30,39,40,3,12,1,1,2,0,0,0,12,8,,
