season,match_week,match_date,month,day,weekday,referee,home_team,away_team,stadium,attendance,h_position,a_position,goals_h,goals_a,possession_h,possession_a,shots_on_target_h,shots_on_target_a,shots_h,shots_a,touches_h,touches_a,passes_h,passes_a,tackles_h,tackles_a,clearances_h,clearances_a,corners_h,corners_a,offsides_h,offsides_a,yellow_cards_h,yellow_cards_a,red_cards_h,red_cards_a,fouls_conceded_h,fouls_conceded_a,formation_h,formation_a,result_h,result_a,points_h,points_a,total_n_matches_played_h,total_n_matches_played_a,total_max_points_h,total_max_points_a,total_points_h_cum,total_points_a_cum,total_points_dropped_h,total_points_dropped_a,total_goals_scored_h,total_goals_scored_a,total_goals_conceded_h,total_goals_conceded_a,total_avg_possession_h,total_avg_possession_a,total_avg_possession_last_3_h,total_avg_possession_last_3_a,total_avg_possession_last_5_h,total_avg_possession_last_5_a,total_avg_shots_on_target_h,total_avg_shots_on_target_a,total_avg_shots_on_target_last_3_h,total_avg_shots_on_target_last_3_a,total_avg_shots_on_target_last_5_h,total_avg_shots_on_target_last_5_a,total_avg_shots_h,total_avg_shots_a,total_avg_shots_last_3_h,total_avg_shots_last_3_a,total_avg_shots_last_5_h,total_avg_shots_last_5_a,total_avg_touches_h,total_avg_touches_a,total_avg_touches_last_3_h,total_avg_touches_last_3_a,total_avg_touches_last_5_h,total_avg_touches_last_5_a,total_avg_passes_h,total_avg_passes_a,total_avg_passes_last_3_h,total_avg_passes_last_3_a,total_avg_passes_last_5_h,total_avg_passes_last_5_a,total_avg_tackles_h,total_avg_tackles_a,total_avg_tackles_last_3_h,total_avg_tackles_last_3_a,total_avg_tackles_last_5_h,total_avg_tackles_last_5_a,total_avg_clearances_h,total_avg_clearances_a,total_avg_clearances_last_3_h,total_avg_clearances_last_3_a,total_avg_clearances_last_5_h,total_avg_clearances_last_5_a,total_avg_corners_h,total_avg_corners_a,total_avg_corners_last_3_h,total_avg_corners_last_3_a,total_avg_corners_last_5_h,total_avg_corners_last_5_a,total_avg_offsides_h,total_avg_offsides_a,total_avg_offsides_last_3_h,total_avg_offsides_last_3_a,total_avg_offsides_last_5_h,total_avg_offsides_last_5_a,total_avg_yellow_cards_h,total_avg_yellow_cards_a,total_avg_yellow_cards_last_3_h,total_avg_yellow_cards_last_3_a,total_avg_yellow_cards_last_5_h,total_avg_yellow_cards_last_5_a,total_avg_fouls_conceded_h,total_avg_fouls_conceded_a,total_avg_fouls_conceded_last_3_h,total_avg_fouls_conceded_last_3_a,total_avg_fouls_conceded_last_5_h,total_avg_fouls_conceded_last_5_a,n_matches_played_h,n_matches_played_a,max_points_h,max_points_a,points_h_cum,points_a_cum,points_dropped_h,points_dropped_a,goals_scored_h_cum,goals_scored_a_cum,goals_conceded_h_cum,goals_conceded_a_cum,avg_possession_h,avg_possession_a,avg_possession_last_3_h,avg_possession_last_3_a,avg_possession_last_5_h,avg_possession_last_5_a,avg_shots_on_target_h,avg_shots_on_target_a,avg_shots_on_target_last_3_h,avg_shots_on_target_last_3_a,avg_shots_on_target_last_5_h,avg_shots_on_target_last_5_a,avg_shots_h,avg_shots_a,avg_shots_last_3_h,avg_shots_last_3_a,avg_shots_last_5_h,avg_shots_last_5_a,avg_touches_h,avg_touches_a,avg_touches_last_3_h,avg_touches_last_3_a,avg_touches_last_5_h,avg_touches_last_5_a,avg_passes_h,avg_passes_a,avg_passes_last_3_h,avg_passes_last_3_a,avg_passes_last_5_h,avg_passes_last_5_a,avg_tackles_h,avg_tackles_a,avg_tackles_last_3_h,avg_tackles_last_3_a,avg_tackles_last_5_h,avg_tackles_last_5_a,avg_clearances_h,avg_clearances_a,avg_clearances_last_3_h,avg_clearances_last_3_a,avg_clearances_last_5_h,avg_clearances_last_5_a,avg_corners_h,avg_corners_a,avg_corners_last_3_h,avg_corners_last_3_a,avg_corners_last_5_h,avg_corners_last_5_a,avg_offsides_h,avg_offsides_a,avg_offsides_last_3_h,avg_offsides_last_3_a,avg_offsides_last_5_h,avg_offsides_last_5_a,avg_yellow_cards_h,avg_yellow_cards_a,avg_yellow_cards_last_3_h,avg_yellow_cards_last_3_a,avg_yellow_cards_last_5_h,avg_yellow_cards_last_5_a,avg_fouls_conceded_h,avg_fouls_conceded_a,avg_fouls_conceded_last_3_h,avg_fouls_conceded_last_3_a,avg_fouls_conceded_last_5_h,avg_fouls_conceded_last_5_a,is_boxing_day,finished_top_4_last_season_h,finished_top_4_last_season_a,won_carabao_cup_last_season_h,won_carabao_cup_last_season_a,won_fa_cup_last_season_h,won_fa_cup_last_season_a,won_epl_last_season_h,won_epl_last_season_a,was_in_ucl_last_season_h,was_in_ucl_last_season_a,was_in_uel_last_season_h,was_in_uel_last_season_a,is_in_ucl_this_season_h,is_in_ucl_this_season_a,is_in_uel_this_season_h,is_in_uel_this_season_a,traditional_top_6_h,traditional_top_6_a,newly_promoted_h,newly_promoted_a,total_goal_difference_h,total_goal_difference_a,goal_difference_h,goal_difference_a,positive_total_goal_difference_h,positive_total_goal_difference_a,positive_goal_difference_h,positive_goal_difference_a,is_derby,derby_name,ground_truth,home_win,draw,away_win,link
2016/17,38,2017-05-21,5,21,7,Michael Oliver,Arsenal,Everton,Emirates Stadium,59976,5,7,3,1,49.5,50.5,9,7,17,22,621,603,438,428,18,10,30,20,4,6,0,1,2,4,1,0,10,15,3-4-2-1,4-3-3,win,defeat,3,0,37,37,111,111,72,61,39,50,74,61,43,41,59.0,52.1,60.8,58.0,56.2,59.3,5.2,5.0,7.7,3.7,6.2,3.6,14.8,13.0,19.0,12.0,15.6,13.8,765.1,667.7,742.7,708.0,708.4,716.6,566.4,463.7,551.3,509.7,516.6,516.4,17.7,19.0,13.7,14.7,16.2,16.4,21.8,29.7,21.3,34.3,22.6,34.4,6.0,5.1,9.3,5.3,7.6,5.2,2.5,2.1,1.7,1.3,2.4,1.8,1.9,2.0,2.7,1.0,2.4,1.6,10.5,12.0,9.0,11.0,11.2,12.6,18,18,54,54,42,18,12,36,36,19,15,25,59.2,52.6,60.5,53.4,58.3,51.5,5.9,4.1,7.3,2.0,6.6,2.8,17.4,11.3,19.0,8.0,17.2,8.2,768.6,673.4,774.3,672.7,758.4,659.4,566.8,474.2,586.3,487.3,568.8,466.2,17.3,19.3,12.7,16.7,16.0,19.4,20.1,28.7,19.0,33.7,17.6,26.2,7.1,3.9,11.3,4.7,8.4,3.8,3.3,1.9,4.0,1.7,3.8,2.0,2.0,1.7,2.3,2.3,2.4,2.4,10.6,12.7,12.7,15.3,11.4,14.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,31,20,21,-6,1,1,1,0,0,No Derby,1,1,0,0,https://www.premierleague.com/match/14410
2016/17,38,2017-05-21,5,21,7,Robert Madley,Burnley,West Ham,Turf Moor,21634,15,12,1,2,44.7,55.3,1,4,9,14,563,660,396,489,12,13,20,24,2,5,0,3,2,2,0,0,11,14,4-4-2,3-4-2-1,defeat,win,0,3,37,37,111,111,40,42,71,69,38,45,53,63,40.0,46.9,45.6,36.2,43.8,40.3,3.2,3.6,3.3,4.0,3.2,3.6,10.4,13.1,12.3,11.7,11.6,11.4,519.6,594.8,538.3,516.3,542.4,533.4,328.7,395.6,351.0,311.7,347.8,339.4,16.9,15.2,17.7,15.0,22.0,14.8,32.8,28.4,32.0,34.3,26.0,30.4,4.0,4.5,3.3,3.3,4.0,3.8,2.5,1.9,3.0,3.3,2.4,2.2,1.9,2.1,0.7,2.0,0.8,1.6,11.3,10.6,10.7,5.3,12.6,7.0,18,18,54,54,33,17,21,37,25,26,18,32,40.4,45.5,49.6,43.2,43.2,46.5,3.5,3.8,2.3,3.0,2.6,4.0,11.3,11.8,9.7,8.7,9.8,10.8,526.6,585.1,580.0,577.7,553.2,595.2,331.1,383.4,380.0,379.0,358.4,386.2,15.9,16.4,17.7,15.7,17.4,14.8,31.1,30.9,27.3,32.0,30.6,30.8,4.3,4.3,3.7,1.3,3.0,3.0,2.7,1.8,3.3,2.3,3.6,1.6,2.1,1.6,2.0,0.7,2.2,1.2,11.1,11.2,11.7,6.0,11.2,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-15,-18,7,-6,0,0,1,0,0,No Derby,-1,0,0,1,https://www.premierleague.com/match/14411
2016/17,38,2017-05-21,5,21,7,Neil Swarbrick,Chelsea,Sunderland,Stamford Bridge,41618,1,20,5,1,70.5,29.5,8,3,28,7,813,440,643,269,16,17,4,35,11,1,0,1,1,1,0,0,8,15,3-4-2-1,3-5-1-1,win,defeat,3,0,37,37,111,111,90,24,21,87,80,28,32,64,54.5,39.9,57.3,43.6,54.0,44.6,5.3,3.1,7.0,3.7,6.6,4.0,14.9,10.3,23.0,10.3,19.4,11.6,725.5,518.9,727.7,543.7,693.6,556.2,526.5,326.8,548.7,364.7,509.8,369.6,17.2,16.6,17.7,17.3,16.0,18.8,22.6,30.7,16.0,25.7,20.4,24.0,5.6,4.3,8.0,5.0,6.8,5.2,1.7,2.2,1.7,3.0,1.2,3.8,1.9,2.0,0.7,2.3,1.6,2.6,10.5,11.4,7.7,10.3,9.4,11.0,18,18,54,54,48,10,6,44,50,12,16,30,54.1,38.4,50.7,43.0,52.8,43.5,6.3,2.9,7.7,3.7,7.6,3.4,16.0,9.3,20.7,9.3,19.2,10.8,728.9,499.8,695.3,539.7,696.2,529.0,532.2,309.6,517.3,356.3,511.8,339.8,17.1,15.8,20.3,15.3,19.6,14.6,20.3,32.7,16.3,27.3,17.6,28.6,6.6,4.1,7.3,4.0,6.6,5.4,1.9,2.2,1.3,4.3,1.8,3.2,1.7,2.1,1.3,2.0,1.6,2.0,9.8,11.2,9.3,9.7,10.0,10.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,48,-36,34,-18,1,0,1,0,0,No Derby,1,1,0,0,https://www.premierleague.com/match/14412
2016/17,38,2017-05-21,5,21,7,Andre Marriner,Hull,Spurs,KCOM Stadium,23804,18,2,1,7,34.7,65.3,4,14,10,19,474,802,310,600,19,14,23,15,2,3,0,0,2,0,0,0,14,5,3-4-2-1,4-2-3-1,defeat,win,0,3,37,37,111,111,34,83,77,28,36,79,73,25,46.1,60.3,59.3,63.4,53.4,62.1,3.3,6.6,2.3,8.0,2.6,7.8,10.5,17.6,11.3,17.0,11.2,17.8,603.1,739.1,633.7,749.7,597.6,738.4,413.4,528.4,445.7,554.0,414.6,534.2,16.6,17.5,14.7,17.3,15.8,18.0,29.2,26.7,20.0,18.7,21.8,22.4,4.8,7.3,6.7,6.3,6.2,8.8,1.7,2.0,0.7,1.3,1.4,1.2,1.9,1.6,3.7,1.3,3.2,1.6,10.5,11.5,12.3,10.3,10.4,10.6,18,18,54,54,28,30,26,24,27,32,28,16,44.9,61.5,47.2,66.4,47.4,66.4,3.6,5.3,4.7,7.0,4.8,7.2,11.0,15.4,13.7,18.3,12.6,18.4,586.9,743.3,569.3,778.3,567.2,791.4,397.5,534.1,383.7,575.0,382.4,588.0,15.6,17.8,12.0,19.3,13.6,18.0,31.9,26.9,30.3,22.0,27.6,24.6,3.9,6.8,6.3,7.3,5.2,7.2,1.8,1.8,1.0,0.7,2.4,1.4,1.8,1.9,2.7,2.0,2.6,1.4,11.4,12.1,11.0,10.7,12.6,9.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,-37,54,-1,16,0,1,0,1,0,No Derby,-1,0,0,1,https://www.premierleague.com/match/14413
2016/17,38,2017-05-21,5,21,7,Lee Mason,Leicester,Bournemouth,King Power Stadium,32000,11,10,1,1,48.6,51.4,4,4,20,10,629,649,412,446,26,20,10,28,9,1,5,1,4,1,0,0,11,10,4-4-2,4-4-1-1,draw,draw,1,1,37,37,111,111,43,45,68,66,47,54,62,66,41.7,51.4,37.8,57.3,37.9,54.2,3.8,4.2,4.7,5.0,3.6,5.2,11.2,11.9,10.7,15.0,9.0,14.2,551.9,652.8,504.3,696.3,506.0,671.0,358.4,451.5,310.0,501.0,314.0,480.2,17.6,15.8,21.7,13.0,19.6,15.8,27.4,28.8,22.0,31.0,27.0,25.0,5.1,5.2,5.7,4.0,4.8,3.4,1.4,1.4,1.3,1.7,2.2,1.8,2.1,1.4,3.7,1.3,3.4,1.0,11.9,9.7,11.7,8.3,11.4,7.8,18,18,54,54,33,14,21,40,30,19,24,37,42.6,49.8,44.6,41.4,46.3,38.9,4.4,3.6,6.0,3.3,6.6,2.8,12.2,10.4,14.0,9.3,16.4,8.6,563.9,636.7,557.3,569.0,576.8,545.4,366.3,442.9,351.3,366.7,368.8,348.2,17.7,15.1,19.7,18.3,20.2,16.6,26.8,29.3,26.3,31.7,25.6,35.0,5.6,5.2,6.3,2.7,7.8,2.6,1.7,1.3,1.7,1.0,1.4,0.8,2.0,1.5,2.7,1.3,2.0,1.2,10.6,10.3,10.3,9.0,10.0,9.2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-15,-12,6,-18,0,0,1,0,0,No Derby,0,0,1,0,https://www.premierleague.com/match/14414
2016/17,38,2017-05-21,5,21,7,Martin Atkinson,Liverpool,Middlesbrough,Anfield,53191,4,19,3,0,73.8,26.2,10,3,25,9,929,434,752,260,14,15,18,30,3,3,1,0,0,1,0,0,13,8,4-1-2-1-2,4-3-3,win,defeat,3,0,37,37,111,111,73,28,38,83,75,27,42,50,61.6,47.8,63.9,38.9,65.5,39.5,6.1,2.6,9.0,3.3,6.0,2.8,16.6,9.2,18.3,10.0,16.8,8.2,787.6,611.7,778.7,531.3,795.2,525.6,582.1,418.3,576.7,363.0,584.4,352.4,19.1,19.2,13.7,13.0,17.0,14.4,23.2,28.6,18.7,28.0,22.2,29.4,6.6,3.7,4.7,3.7,4.4,3.4,2.0,1.4,1.3,1.7,1.2,1.6,1.5,2.1,0.7,3.0,0.8,2.8,10.4,12.8,9.3,16.3,9.0,15.6,18,18,54,54,38,10,16,44,42,10,18,27,63.2,45.9,67.8,42.3,63.7,43.3,6.5,2.1,5.7,2.3,5.2,2.0,17.1,7.5,17.0,6.3,14.2,7.0,798.6,591.2,825.0,566.3,779.0,564.4,597.2,399.3,604.3,391.7,568.6,380.4,18.6,19.7,19.3,16.7,17.4,18.4,20.9,32.9,20.3,23.7,23.2,26.6,6.3,2.5,4.7,2.7,5.4,2.4,2.1,1.8,1.0,1.7,1.4,1.8,1.2,2.1,1.0,1.7,1.2,2.0,10.1,14.4,9.3,15.7,11.4,16.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,33,-23,24,-17,1,0,1,0,0,No Derby,1,1,0,0,https://www.premierleague.com/match/14415
2016/17,38,2017-05-21,5,21,7,Anthony Taylor,Man Utd,Crystal Palace,Old Trafford,75254,6,13,2,0,58.8,41.2,2,1,9,6,727,537,542,360,25,14,34,5,3,6,0,1,2,0,0,0,16,10,4-3-3,4-3-3,win,defeat,3,0,37,37,111,111,66,41,45,70,52,50,29,61,56.4,45.4,45.7,41.3,44.7,36.6,5.6,3.7,2.3,3.7,2.8,3.0,15.7,11.7,9.7,10.7,8.8,9.0,740.3,567.5,629.0,508.0,611.4,492.2,532.5,356.3,445.3,309.7,428.6,285.4,18.0,18.5,16.0,16.3,16.4,20.2,29.1,27.5,27.0,26.3,25.4,27.8,5.8,5.3,5.0,6.7,4.8,5.0,2.6,1.4,2.7,1.7,2.0,1.8,2.1,2.2,1.0,2.7,1.2,2.6,13.0,12.4,11.7,10.7,10.8,11.0,18,18,54,54,31,21,23,33,24,26,12,36,58.9,43.0,54.4,32.3,61.3,34.5,6.4,3.5,4.0,2.7,4.4,3.0,18.3,11.7,13.0,9.7,15.4,9.4,760.6,544.9,702.0,453.0,774.4,471.2,546.4,336.1,503.7,250.7,578.4,264.4,17.7,17.8,21.3,20.7,18.4,19.8,25.8,28.3,23.0,27.3,19.0,32.0,7.6,5.2,4.0,5.7,6.6,5.0,2.7,1.1,1.7,1.3,1.6,1.2,2.0,2.7,2.0,2.0,2.4,1.8,12.9,12.7,12.3,9.7,12.2,11.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,23,-11,12,-10,1,0,1,0,0,No Derby,1,1,0,0,https://www.premierleague.com/match/14416
2016/17,38,2017-05-21,5,21,7,Lee Probert,Southampton,Stoke,St. Mary's Stadium,31286,8,14,0,1,61.0,39.0,6,3,15,14,686,510,512,319,11,16,21,29,4,10,3,2,2,4,0,0,12,10,4-2-3-1,3-4-2-1,defeat,win,0,3,37,37,111,111,46,41,65,70,41,40,47,56,54.3,46.4,52.7,44.2,49.0,46.4,4.7,3.6,4.3,3.7,3.0,3.6,14.5,11.1,15.0,14.3,12.0,13.2,680.9,583.2,658.0,566.0,626.8,581.2,479.3,384.8,479.7,384.0,437.6,393.2,17.9,17.6,11.3,17.7,15.0,16.4,24.1,26.5,19.0,19.7,23.4,21.0,5.2,4.8,5.0,6.3,5.4,5.2,1.8,2.2,0.7,2.3,1.4,2.4,1.6,1.9,1.0,0.7,1.2,0.8,11.2,11.5,8.7,13.3,7.8,13.2,18,18,54,54,24,14,30,40,17,16,20,32,54.3,45.2,50.6,49.6,50.9,47.0,4.8,3.1,3.7,2.7,4.2,2.4,15.9,10.2,14.0,12.7,15.0,10.6,673.3,577.4,640.3,599.0,630.0,598.4,471.4,379.7,449.3,404.3,436.6,392.4,16.1,17.1,13.7,12.7,14.6,13.8,20.6,27.6,20.7,25.3,20.2,28.2,5.7,4.2,6.0,5.3,6.6,4.2,1.8,1.9,1.3,2.0,1.0,2.2,1.3,1.9,1.0,1.3,1.6,2.2,10.9,11.2,8.0,15.0,9.8,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-6,-16,-3,-16,0,0,0,0,0,No Derby,-1,0,0,1,https://www.premierleague.com/match/14417
2016/17,38,2017-05-21,5,21,7,Mike Dean,Swansea,West Brom,Liberty Stadium,20889,17,9,2,1,65.3,34.7,2,5,12,16,795,500,589,316,17,18,17,24,7,4,1,0,1,1,0,0,8,10,4-3-3,3-5-1-1,win,defeat,3,0,37,37,111,111,38,45,73,66,43,42,69,49,47.4,37.3,43.1,35.5,44.4,39.5,3.9,3.2,3.7,2.3,4.2,2.6,10.6,10.4,8.0,7.7,9.4,9.2,619.8,501.1,572.7,465.0,573.8,497.4,420.1,311.1,388.7,283.3,382.4,310.6,16.7,15.9,15.7,14.3,18.0,14.8,27.6,26.4,35.0,29.0,29.6,26.8,5.1,4.2,5.0,4.7,5.6,4.6,1.2,1.4,1.0,1.7,0.8,2.4,1.6,2.3,0.7,2.7,1.2,2.6,10.6,11.9,8.0,12.7,8.4,13.4,18,18,54,54,24,16,30,38,25,15,33,27,48.2,36.3,37.1,39.5,47.6,36.2,4.4,2.6,3.7,2.3,4.6,2.0,12.4,9.1,7.7,11.3,12.4,8.4,632.4,492.8,517.3,490.7,595.6,489.2,431.2,300.2,317.3,307.7,390.4,307.2,16.3,16.5,20.0,12.3,15.0,15.0,25.4,27.0,34.0,23.3,27.4,27.4,6.2,4.2,8.3,5.0,9.0,4.4,0.9,1.2,1.3,0.7,1.2,0.4,1.7,2.6,1.0,3.0,1.4,2.8,10.1,12.2,5.7,13.0,6.6,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,-7,-8,-12,0,0,0,0,0,No Derby,1,1,0,0,https://www.premierleague.com/match/14418
2016/17,38,2017-05-21,5,21,7,Jonathan Moss,Watford,Man City,Vicarage Road,20829,16,3,0,5,32.9,67.1,3,9,6,15,440,789,297,620,20,19,6,13,4,5,0,2,1,0,0,0,12,10,4-2-3-1,4-2-3-1,defeat,win,0,3,37,37,111,111,40,75,71,36,40,75,63,39,46.4,64.8,49.6,68.6,50.9,68.6,3.8,5.6,4.0,9.0,3.2,7.4,11.2,16.7,12.3,21.3,12.0,21.0,570.5,799.3,653.0,808.7,652.8,805.0,371.7,596.9,442.0,612.7,451.2,604.2,16.2,16.9,13.3,18.3,15.0,16.8,27.3,24.1,36.0,21.7,30.0,19.0,4.3,7.4,4.0,8.3,4.4,8.6,1.4,2.4,1.0,1.3,2.2,1.4,2.5,1.9,3.7,1.7,3.0,2.0,13.6,10.4,11.0,10.7,11.0,10.2,18,18,54,54,28,35,26,19,25,38,24,22,46.8,64.0,49.5,62.6,48.6,62.8,4.1,5.2,3.7,5.3,5.0,5.6,12.6,15.7,11.0,19.0,14.4,17.0,565.9,795.2,608.7,791.7,584.2,798.2,365.1,595.1,414.7,594.7,377.8,601.6,16.8,15.7,18.7,11.3,19.4,14.8,26.6,26.4,31.0,18.7,33.6,20.0,4.3,6.9,4.7,9.3,6.6,8.0,1.6,2.4,2.3,0.3,2.0,2.0,2.9,2.2,2.7,2.3,2.4,1.8,14.5,10.9,10.0,10.3,11.6,10.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-23,36,1,16,0,1,1,1,0,No Derby,-1,0,0,1,https://www.premierleague.com/match/14419
