season,match_week,match_date,month,day,weekday,referee,home_team,away_team,stadium,attendance,h_position,a_position,goals_h,goals_a,possession_h,possession_a,shots_on_target_h,shots_on_target_a,shots_h,shots_a,touches_h,touches_a,passes_h,passes_a,tackles_h,tackles_a,clearances_h,clearances_a,corners_h,corners_a,offsides_h,offsides_a,yellow_cards_h,yellow_cards_a,red_cards_h,red_cards_a,fouls_conceded_h,fouls_conceded_a,formation_h,formation_a,result_h,result_a,points_h,points_a,total_n_matches_played_h,total_n_matches_played_a,total_max_points_h,total_max_points_a,total_points_h_cum,total_points_a_cum,total_points_dropped_h,total_points_dropped_a,total_goals_scored_h,total_goals_scored_a,total_goals_conceded_h,total_goals_conceded_a,total_avg_possession_h,total_avg_possession_a,total_avg_possession_last_3_h,total_avg_possession_last_3_a,total_avg_possession_last_5_h,total_avg_possession_last_5_a,total_avg_shots_on_target_h,total_avg_shots_on_target_a,total_avg_shots_on_target_last_3_h,total_avg_shots_on_target_last_3_a,total_avg_shots_on_target_last_5_h,total_avg_shots_on_target_last_5_a,total_avg_shots_h,total_avg_shots_a,total_avg_shots_last_3_h,total_avg_shots_last_3_a,total_avg_shots_last_5_h,total_avg_shots_last_5_a,total_avg_touches_h,total_avg_touches_a,total_avg_touches_last_3_h,total_avg_touches_last_3_a,total_avg_touches_last_5_h,total_avg_touches_last_5_a,total_avg_passes_h,total_avg_passes_a,total_avg_passes_last_3_h,total_avg_passes_last_3_a,total_avg_passes_last_5_h,total_avg_passes_last_5_a,total_avg_tackles_h,total_avg_tackles_a,total_avg_tackles_last_3_h,total_avg_tackles_last_3_a,total_avg_tackles_last_5_h,total_avg_tackles_last_5_a,total_avg_clearances_h,total_avg_clearances_a,total_avg_clearances_last_3_h,total_avg_clearances_last_3_a,total_avg_clearances_last_5_h,total_avg_clearances_last_5_a,total_avg_corners_h,total_avg_corners_a,total_avg_corners_last_3_h,total_avg_corners_last_3_a,total_avg_corners_last_5_h,total_avg_corners_last_5_a,total_avg_offsides_h,total_avg_offsides_a,total_avg_offsides_last_3_h,total_avg_offsides_last_3_a,total_avg_offsides_last_5_h,total_avg_offsides_last_5_a,total_avg_yellow_cards_h,total_avg_yellow_cards_a,total_avg_yellow_cards_last_3_h,total_avg_yellow_cards_last_3_a,total_avg_yellow_cards_last_5_h,total_avg_yellow_cards_last_5_a,total_avg_fouls_conceded_h,total_avg_fouls_conceded_a,total_avg_fouls_conceded_last_3_h,total_avg_fouls_conceded_last_3_a,total_avg_fouls_conceded_last_5_h,total_avg_fouls_conceded_last_5_a,n_matches_played_h,n_matches_played_a,max_points_h,max_points_a,points_h_cum,points_a_cum,points_dropped_h,points_dropped_a,goals_scored_h_cum,goals_scored_a_cum,goals_conceded_h_cum,goals_conceded_a_cum,avg_possession_h,avg_possession_a,avg_possession_last_3_h,avg_possession_last_3_a,avg_possession_last_5_h,avg_possession_last_5_a,avg_shots_on_target_h,avg_shots_on_target_a,avg_shots_on_target_last_3_h,avg_shots_on_target_last_3_a,avg_shots_on_target_last_5_h,avg_shots_on_target_last_5_a,avg_shots_h,avg_shots_a,avg_shots_last_3_h,avg_shots_last_3_a,avg_shots_last_5_h,avg_shots_last_5_a,avg_touches_h,avg_touches_a,avg_touches_last_3_h,avg_touches_last_3_a,avg_touches_last_5_h,avg_touches_last_5_a,avg_passes_h,avg_passes_a,avg_passes_last_3_h,avg_passes_last_3_a,avg_passes_last_5_h,avg_passes_last_5_a,avg_tackles_h,avg_tackles_a,avg_tackles_last_3_h,avg_tackles_last_3_a,avg_tackles_last_5_h,avg_tackles_last_5_a,avg_clearances_h,avg_clearances_a,avg_clearances_last_3_h,avg_clearances_last_3_a,avg_clearances_last_5_h,avg_clearances_last_5_a,avg_corners_h,avg_corners_a,avg_corners_last_3_h,avg_corners_last_3_a,avg_corners_last_5_h,avg_corners_last_5_a,avg_offsides_h,avg_offsides_a,avg_offsides_last_3_h,avg_offsides_last_3_a,avg_offsides_last_5_h,avg_offsides_last_5_a,avg_yellow_cards_h,avg_yellow_cards_a,avg_yellow_cards_last_3_h,avg_yellow_cards_last_3_a,avg_yellow_cards_last_5_h,avg_yellow_cards_last_5_a,avg_fouls_conceded_h,avg_fouls_conceded_a,avg_fouls_conceded_last_3_h,avg_fouls_conceded_last_3_a,avg_fouls_conceded_last_5_h,avg_fouls_conceded_last_5_a,is_boxing_day,finished_top_4_last_season_h,finished_top_4_last_season_a,won_carabao_cup_last_season_h,won_carabao_cup_last_season_a,won_fa_cup_last_season_h,won_fa_cup_last_season_a,won_epl_last_season_h,won_epl_last_season_a,was_in_ucl_last_season_h,was_in_ucl_last_season_a,was_in_uel_last_season_h,was_in_uel_last_season_a,is_in_ucl_this_season_h,is_in_ucl_this_season_a,is_in_uel_this_season_h,is_in_uel_this_season_a,traditional_top_6_h,traditional_top_6_a,newly_promoted_h,newly_promoted_a,total_goal_difference_h,total_goal_difference_a,goal_difference_h,goal_difference_a,positive_total_goal_difference_h,positive_total_goal_difference_a,positive_goal_difference_h,positive_goal_difference_a,is_derby,derby_name,ground_truth,home_win,draw,away_win,link
2022/23,13,2022-10-24,10,24,1,David Coote,West Ham,Bournemouth,London Stadium,,13,12,2,0,54.4,45.6,4,3,20,5,694,610,497,432,22,21,9,23,5,0,1,0,0,2,0,0,9,11,4-2-3-1,4-2-3-1,win,defeat,3,0,11,11,33,33,11,13,22,20,9,10,12,23,44.2,38.2,52.5,42.9,48.6,39.7,3.8,2.6,5.0,4.3,4.8,3.4,13.4,7.8,16.7,11.7,16.4,10.4,579.8,539.2,676.7,601.0,628.8,558.2,404.5,361.0,494.3,407.0,448.6,368.2,15.3,16.4,16.3,13.3,18.0,14.4,19.7,23.9,16.0,22.7,18.4,24.6,5.2,4.2,7.0,6.7,7.2,5.6,1.5,1.0,0.3,1.7,0.8,1.4,1.1,1.5,0.7,0.7,1.0,1.0,9.0,10.5,6.7,9.0,7.8,9.8,5,5,15,15,7,5,8,10,6,6,6,18,40.4,34.0,42.6,35.3,40.4,34.0,4.2,3.0,5.7,4.0,4.2,3.0,13.6,7.2,16.3,9.3,13.6,7.2,549.0,489.0,573.7,509.0,549.0,489.0,391.2,322.2,408.7,318.3,391.2,322.2,14.0,14.8,16.0,14.7,14.0,14.8,17.8,29.4,20.0,36.7,17.8,29.4,2.8,3.0,2.7,4.3,2.8,3.0,2.2,0.6,1.3,0.7,2.2,0.6,1.4,1.4,1.7,1.0,1.4,1.4,9.0,9.2,9.0,10.7,9.0,9.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-3,-13,0,-12,0,0,0,0,0,No Derby,1,1,0,0,https://www.premierleague.com/match/75039
2022/23,13,2022-10-23,10,23,7,Darren England,Aston Villa,Brentford,Villa Park,41693.0,17,10,4,0,45.1,54.9,11,3,19,12,527,596,329,397,20,20,25,12,7,6,0,1,1,0,0,0,14,11,4-2-3-1,3-5-2,win,defeat,3,0,11,11,33,33,9,14,24,19,7,18,16,17,49.9,43.2,46.9,35.6,49.9,40.2,3.9,4.4,5.0,3.7,5.0,3.4,11.6,10.5,14.0,7.0,14.4,7.8,620.0,549.7,572.7,480.3,605.2,526.2,436.9,369.6,390.0,290.7,413.8,344.6,19.0,14.9,19.7,14.0,22.0,16.6,12.5,16.4,8.7,23.0,10.8,20.8,4.7,5.2,6.0,4.3,6.6,4.8,2.5,1.5,3.0,1.0,2.4,1.6,2.3,1.6,1.7,2.0,2.0,1.6,12.5,8.2,14.0,9.3,13.4,9.6,5,5,15,15,7,3,8,12,4,6,5,11,47.4,51.1,40.5,51.6,47.4,51.1,3.6,3.6,3.7,3.3,3.6,3.6,10.6,9.8,10.7,9.3,10.6,9.8,615.0,611.8,535.7,621.0,615.0,611.8,431.8,441.2,353.3,444.0,431.8,441.2,21.2,13.6,24.7,15.0,21.2,13.6,14.2,12.8,14.0,13.0,14.2,12.8,4.4,5.6,4.7,6.3,4.4,5.6,2.6,2.4,3.0,1.7,2.6,2.4,2.2,1.8,1.7,1.7,2.2,1.8,10.2,7.8,10.7,9.0,10.2,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,1,-1,-5,0,1,0,0,0,No Derby,1,1,0,0,https://www.premierleague.com/match/75031
2022/23,13,2022-10-23,10,23,7,Anthony Taylor,Leeds,Fulham,Elland Road,36447.0,16,9,2,3,57.2,42.8,5,5,14,11,680,567,488,355,22,16,7,16,3,6,4,4,1,1,0,0,12,8,4-2-3-1,4-2-3-1,defeat,win,0,3,10,11,30,33,9,15,21,18,11,19,15,20,52.1,45.7,48.6,59.7,51.7,54.0,3.9,4.2,3.3,4.7,3.4,4.4,12.4,11.7,13.3,15.0,12.6,12.6,641.4,577.4,628.3,695.3,626.2,646.0,440.0,392.9,430.3,517.7,430.8,477.8,24.1,17.0,28.0,12.7,24.0,12.6,15.1,19.3,10.3,13.0,13.4,13.4,5.4,4.4,6.0,5.3,5.2,5.4,1.4,1.5,2.7,1.0,1.8,1.6,2.0,2.5,1.3,1.7,1.8,2.2,14.1,9.7,14.7,9.0,15.2,9.2,5,5,15,15,8,4,7,11,6,6,3,9,47.8,45.1,53.3,52.3,47.8,45.1,4.0,3.6,3.3,4.0,4.0,3.6,12.0,10.4,12.0,10.7,12.0,10.4,625.0,592.4,686.7,670.7,625.0,592.4,424.0,405.0,482.3,491.3,424.0,405.0,21.8,17.4,20.7,14.7,21.8,17.4,15.2,20.4,13.3,16.7,15.2,20.4,5.6,4.0,6.0,5.0,5.6,4.0,1.4,0.6,2.0,1.0,1.4,0.6,1.6,3.4,2.0,3.7,1.6,3.4,14.4,9.8,14.3,7.7,14.4,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,-1,3,-3,0,0,1,0,0,No Derby,-1,0,0,1,https://www.premierleague.com/match/75034
2022/23,13,2022-10-23,10,23,7,Robert Jones,Southampton,Arsenal,St. Mary's Stadium,,14,1,1,1,40.7,59.3,3,3,10,12,533,719,358,541,21,16,17,25,9,4,4,3,2,1,0,0,11,8,4-4-2,4-3-3,draw,draw,1,1,11,10,33,30,11,27,22,3,10,24,18,10,43.2,56.9,40.1,53.9,44.4,57.2,3.6,6.2,3.7,6.7,3.6,6.0,11.3,15.8,8.0,14.0,10.6,14.2,578.3,694.1,585.0,673.0,609.8,680.6,373.4,508.7,393.3,483.7,400.2,501.6,19.3,14.9,18.7,15.7,21.2,14.6,21.5,15.8,26.0,21.0,24.2,17.6,3.9,5.4,2.7,4.0,3.6,4.0,0.5,1.4,0.7,1.3,0.4,1.0,1.5,1.8,1.7,1.7,1.6,2.0,10.5,10.3,9.3,10.7,10.4,10.2,5,5,15,15,5,12,10,3,6,10,7,3,43.3,55.9,41.8,59.1,43.3,55.9,6.0,4.4,7.0,4.7,6.0,4.4,14.4,12.4,13.7,12.7,14.4,12.4,561.6,700.8,562.7,693.0,561.6,700.8,344.6,515.0,342.3,519.0,344.6,515.0,17.8,17.2,18.3,14.3,17.8,17.2,21.4,17.2,26.7,14.0,21.4,17.2,4.6,4.0,5.3,3.7,4.6,4.0,0.6,1.2,0.3,0.3,0.6,1.2,1.2,2.0,1.7,2.3,1.2,2.0,9.4,10.2,11.0,10.0,9.4,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-8,14,-1,7,0,1,0,1,0,No Derby,0,0,1,0,https://www.premierleague.com/match/75037
2022/23,13,2022-10-23,10,23,7,Michael Oliver,Wolves,Leicester,Molineux Stadium,,18,19,0,4,60.9,39.1,6,4,21,5,728,517,537,347,11,23,7,22,9,2,3,3,2,1,0,0,10,12,4-2-3-1,4-1-4-1,defeat,win,0,3,11,11,33,33,9,8,24,25,5,17,14,24,52.1,53.3,49.8,51.9,50.2,52.7,3.0,4.0,2.7,3.7,2.6,5.0,11.3,11.2,9.0,9.3,9.6,12.8,654.9,711.6,617.3,718.3,638.8,722.4,463.5,534.4,431.3,530.3,456.0,543.0,18.5,18.3,19.7,27.7,18.0,22.0,17.7,17.0,18.7,18.0,14.6,16.4,4.4,3.8,2.7,4.3,3.8,4.0,1.5,1.5,2.0,2.0,1.4,1.8,1.7,1.7,1.0,2.0,1.4,2.0,10.2,10.8,14.3,16.3,11.2,14.2,5,5,15,15,8,0,7,15,3,8,4,19,49.1,52.7,49.9,52.9,49.1,52.7,2.0,4.6,1.7,5.3,2.0,4.6,7.8,11.4,7.3,11.3,7.8,11.4,598.6,691.6,611.0,712.3,598.6,691.6,410.0,523.0,429.7,539.7,410.0,523.0,18.0,18.0,16.7,20.3,18.0,18.0,22.0,18.2,20.0,20.3,22.0,18.2,4.6,3.4,4.7,1.3,4.6,3.4,1.4,1.4,1.0,1.0,1.4,1.4,2.6,1.6,2.7,1.7,2.6,1.6,10.2,9.8,11.3,11.0,10.2,9.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-9,-7,-1,-11,0,0,0,0,0,No Derby,-1,0,0,1,https://www.premierleague.com/match/75040
2022/23,13,2022-10-23,10,23,7,Jarred Gillett,Spurs,Newcastle,Tottenham Hotspur Stadium,61726.0,3,6,1,2,52.4,47.6,5,5,17,13,655,621,457,409,18,16,17,16,6,7,3,4,4,2,0,0,12,6,3-5-2,4-3-3,defeat,win,0,3,11,11,33,33,23,18,10,15,22,18,12,9,48.3,51.3,50.2,47.1,45.9,56.4,5.7,5.5,4.0,4.0,5.2,5.8,13.9,15.3,12.7,13.7,12.2,16.0,659.1,595.8,696.3,538.0,641.6,644.6,483.0,405.5,533.3,360.7,477.8,466.0,15.5,16.5,11.7,16.7,13.0,16.2,17.7,19.4,11.7,16.3,13.8,14.4,5.3,7.5,4.0,7.0,4.0,7.4,1.6,2.2,1.0,0.3,1.4,2.2,1.7,1.5,1.0,1.0,1.0,1.0,10.4,11.2,11.0,11.3,10.4,10.8,5,5,15,15,15,6,0,9,15,6,4,4,52.9,48.6,52.4,44.5,52.9,48.6,8.0,4.2,9.3,4.7,8.0,4.2,17.8,11.6,20.0,11.0,17.8,11.6,687.6,572.6,681.3,564.3,687.6,572.6,513.2,386.8,513.3,387.3,513.2,386.8,16.6,15.6,13.7,17.0,16.6,15.6,13.2,24.0,10.3,25.0,13.2,24.0,8.2,5.6,7.7,4.0,8.2,5.6,1.6,2.8,1.3,3.0,1.6,2.8,2.0,1.4,1.7,1.0,2.0,1.4,10.2,9.6,10.0,10.3,10.2,9.6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,9,11,2,1,1,1,1,0,No Derby,-1,0,0,1,https://www.premierleague.com/match/75038
2022/23,13,2022-10-22,10,22,6,Paul Tierney,Nott'm Forest,Liverpool,The City Ground,29245.0,20,7,1,0,24.8,75.2,7,7,10,15,425,895,227,691,19,14,38,7,2,11,3,0,2,1,0,0,14,8,4-3-3,4-4-2,win,defeat,3,0,11,10,33,30,6,16,27,14,7,22,23,12,42.5,61.2,37.2,48.9,40.2,52.3,2.5,5.8,1.7,4.0,2.2,5.4,9.8,17.5,6.3,14.3,8.0,16.2,549.4,774.6,480.3,682.0,520.6,695.4,371.5,579.8,302.0,498.3,349.0,498.8,15.3,14.4,14.3,17.0,13.4,16.2,21.6,12.9,22.7,20.3,21.0,18.6,3.2,7.1,2.3,5.3,3.0,6.8,1.4,2.6,0.3,3.0,1.4,2.4,2.7,1.2,2.0,2.0,2.4,1.8,11.5,8.8,13.3,10.0,12.6,10.0,5,4,15,12,4,2,11,10,6,5,9,7,46.4,63.6,44.5,62.5,46.4,50.0,3.2,5.0,3.0,5.3,3.2,0.0,11.6,14.8,9.3,16.0,11.6,0.0,596.0,749.5,576.3,729.0,596.0,0.0,410.0,553.5,398.0,534.0,410.0,0.0,14.8,13.5,12.3,14.3,14.8,0.0,19.6,14.0,20.7,14.0,19.6,0.0,3.8,6.0,2.3,6.7,3.8,0.0,1.4,3.5,1.0,3.3,1.4,0.0,3.4,1.2,2.3,1.7,3.4,0.0,11.6,9.5,12.3,9.7,11.6,0.0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-16,10,-3,-2,0,1,0,0,0,No Derby,1,1,0,0,https://www.premierleague.com/match/75036
2022/23,13,2022-10-22,10,22,6,Simon Hooper,Everton,Crystal Palace,Goodison Park,38939.0,15,11,3,0,45.8,54.2,6,2,9,9,581,647,382,456,26,20,16,17,3,4,1,2,3,4,0,0,16,14,4-2-3-1,4-1-4-1,win,defeat,3,0,11,10,33,30,10,13,23,17,8,12,12,13,42.6,44.6,42.8,50.9,45.6,47.4,3.4,4.2,0.7,3.3,1.8,4.4,10.2,11.0,5.3,11.7,7.0,12.2,566.6,612.6,556.3,675.3,587.8,628.8,372.9,411.2,384.7,460.3,399.6,418.2,18.6,18.0,14.0,18.0,16.6,19.0,24.5,22.9,17.7,19.7,21.4,21.6,4.6,3.5,2.7,3.7,3.8,4.2,1.8,1.1,1.3,1.0,1.2,1.0,2.6,2.1,3.3,2.7,3.0,2.2,9.2,12.2,10.7,13.3,10.0,12.6,5,4,15,12,5,3,10,9,3,3,4,5,43.6,37.1,44.1,40.3,43.6,50.0,3.8,3.8,2.3,4.0,3.8,0.0,11.8,9.0,10.7,9.7,11.8,0.0,572.8,551.8,576.3,570.7,572.8,0.0,377.6,353.8,380.3,380.3,377.6,0.0,16.6,17.0,15.3,15.0,16.6,0.0,22.2,31.2,23.0,29.0,22.2,0.0,5.4,2.5,5.7,2.7,5.4,0.0,1.8,1.2,1.7,1.0,1.8,0.0,2.6,2.5,2.3,2.0,2.6,0.0,8.4,10.2,7.3,11.0,8.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-1,-1,-2,0,0,0,0,0,No Derby,1,1,0,0,https://www.premierleague.com/match/75033
2022/23,13,2022-10-22,10,22,6,Craig Pawson,Man City,Brighton,Etihad Stadium,53223.0,2,8,3,1,48.4,51.6,4,2,10,8,591,623,446,471,14,16,12,11,6,3,0,4,1,3,0,0,11,12,4-3-3,3-4-1-2,win,defeat,3,0,10,10,30,30,23,15,7,15,33,14,10,11,67.4,54.7,60.8,67.2,62.8,60.3,6.8,5.6,8.0,6.0,7.0,7.0,17.7,14.2,19.7,18.0,17.6,16.6,865.1,677.8,839.7,822.3,842.0,758.8,707.4,495.2,665.7,642.7,676.4,576.2,12.9,17.9,16.3,17.7,16.2,18.6,8.5,13.3,10.0,8.0,9.6,11.0,6.7,5.9,6.7,8.7,6.2,7.6,1.4,1.5,0.7,2.0,1.2,1.6,0.6,1.3,0.3,1.7,0.4,1.4,7.2,10.1,4.7,11.3,5.8,10.6,5,5,15,15,15,7,0,8,24,8,5,8,67.0,53.4,64.7,59.9,67.0,53.4,7.8,4.6,9.0,5.7,7.8,4.6,19.4,12.0,20.0,11.3,19.4,12.0,858.4,671.0,845.3,730.3,858.4,671.0,709.2,483.0,693.3,534.7,709.2,483.0,12.4,20.4,14.0,23.7,12.4,20.4,5.6,17.2,7.0,15.3,5.6,17.2,8.2,4.4,8.0,5.3,8.2,4.4,1.6,1.4,1.3,1.7,1.6,1.4,0.2,0.8,0.0,1.0,0.2,0.8,7.8,11.6,5.3,13.0,7.8,11.6,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,23,3,19,0,1,1,1,0,0,No Derby,1,1,0,0,https://www.premierleague.com/match/75035
2022/23,13,2022-10-22,10,22,6,Stuart Attwell,Chelsea,Man Utd,Stamford Bridge,39503.0,4,5,1,1,47.9,52.1,2,6,6,13,583,630,414,464,11,18,18,16,6,4,2,3,1,4,0,0,8,10,3-4-2-1,4-1-4-1,draw,draw,1,1,10,10,30,30,20,19,10,11,15,15,10,15,61.5,51.8,60.9,58.4,62.9,52.2,4.2,5.2,5.3,5.3,4.4,6.0,12.5,14.2,14.0,18.3,12.6,15.4,768.6,646.6,776.3,735.3,790.8,656.2,575.5,475.3,598.3,568.0,618.2,498.0,19.7,15.8,17.3,16.7,16.8,16.2,16.3,19.5,18.3,16.3,15.8,16.6,5.5,3.9,2.3,5.3,3.8,3.8,2.2,2.4,1.3,3.3,1.0,2.8,2.0,2.8,1.7,1.7,2.4,2.2,10.0,11.7,8.7,11.0,9.0,11.0,4,5,12,15,10,9,2,6,9,7,4,11,58.6,54.2,56.9,50.8,50.0,54.2,4.2,4.8,4.7,4.7,0.0,4.8,12.8,11.8,11.7,11.0,0.0,11.8,756.0,668.6,739.3,683.3,0.0,668.6,573.8,505.4,566.0,532.7,0.0,505.4,22.0,14.0,20.0,14.7,0.0,14.0,13.5,20.6,16.3,15.0,0.0,20.6,6.2,2.6,5.7,2.7,0.0,2.6,2.2,1.8,2.3,2.0,0.0,1.8,2.5,2.8,2.3,2.3,0.0,2.8,8.2,13.2,8.0,12.3,0.0,13.2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,5,0,5,-4,1,0,1,0,0,No Derby,0,0,1,0,https://www.premierleague.com/match/75032
