season,match_week,match_date,month,day,weekday,referee,home_team,away_team,stadium,attendance,h_position,a_position,goals_h,goals_a,possession_h,possession_a,shots_on_target_h,shots_on_target_a,shots_h,shots_a,touches_h,touches_a,passes_h,passes_a,tackles_h,tackles_a,clearances_h,clearances_a,corners_h,corners_a,offsides_h,offsides_a,yellow_cards_h,yellow_cards_a,red_cards_h,red_cards_a,fouls_conceded_h,fouls_conceded_a,formation_h,formation_a,result_h,result_a,points_h,points_a,total_n_matches_played_h,total_n_matches_played_a,total_max_points_h,total_max_points_a,total_points_h_cum,total_points_a_cum,total_points_dropped_h,total_points_dropped_a,total_goals_scored_h,total_goals_scored_a,total_goals_conceded_h,total_goals_conceded_a,total_avg_possession_h,total_avg_possession_a,total_avg_possession_last_3_h,total_avg_possession_last_3_a,total_avg_possession_last_5_h,total_avg_possession_last_5_a,total_avg_shots_on_target_h,total_avg_shots_on_target_a,total_avg_shots_on_target_last_3_h,total_avg_shots_on_target_last_3_a,total_avg_shots_on_target_last_5_h,total_avg_shots_on_target_last_5_a,total_avg_shots_h,total_avg_shots_a,total_avg_shots_last_3_h,total_avg_shots_last_3_a,total_avg_shots_last_5_h,total_avg_shots_last_5_a,total_avg_touches_h,total_avg_touches_a,total_avg_touches_last_3_h,total_avg_touches_last_3_a,total_avg_touches_last_5_h,total_avg_touches_last_5_a,total_avg_passes_h,total_avg_passes_a,total_avg_passes_last_3_h,total_avg_passes_last_3_a,total_avg_passes_last_5_h,total_avg_passes_last_5_a,total_avg_tackles_h,total_avg_tackles_a,total_avg_tackles_last_3_h,total_avg_tackles_last_3_a,total_avg_tackles_last_5_h,total_avg_tackles_last_5_a,total_avg_clearances_h,total_avg_clearances_a,total_avg_clearances_last_3_h,total_avg_clearances_last_3_a,total_avg_clearances_last_5_h,total_avg_clearances_last_5_a,total_avg_corners_h,total_avg_corners_a,total_avg_corners_last_3_h,total_avg_corners_last_3_a,total_avg_corners_last_5_h,total_avg_corners_last_5_a,total_avg_offsides_h,total_avg_offsides_a,total_avg_offsides_last_3_h,total_avg_offsides_last_3_a,total_avg_offsides_last_5_h,total_avg_offsides_last_5_a,total_avg_yellow_cards_h,total_avg_yellow_cards_a,total_avg_yellow_cards_last_3_h,total_avg_yellow_cards_last_3_a,total_avg_yellow_cards_last_5_h,total_avg_yellow_cards_last_5_a,total_avg_fouls_conceded_h,total_avg_fouls_conceded_a,total_avg_fouls_conceded_last_3_h,total_avg_fouls_conceded_last_3_a,total_avg_fouls_conceded_last_5_h,total_avg_fouls_conceded_last_5_a,n_matches_played_h,n_matches_played_a,max_points_h,max_points_a,points_h_cum,points_a_cum,points_dropped_h,points_dropped_a,goals_scored_h_cum,goals_scored_a_cum,goals_conceded_h_cum,goals_conceded_a_cum,avg_possession_h,avg_possession_a,avg_possession_last_3_h,avg_possession_last_3_a,avg_possession_last_5_h,avg_possession_last_5_a,avg_shots_on_target_h,avg_shots_on_target_a,avg_shots_on_target_last_3_h,avg_shots_on_target_last_3_a,avg_shots_on_target_last_5_h,avg_shots_on_target_last_5_a,avg_shots_h,avg_shots_a,avg_shots_last_3_h,avg_shots_last_3_a,avg_shots_last_5_h,avg_shots_last_5_a,avg_touches_h,avg_touches_a,avg_touches_last_3_h,avg_touches_last_3_a,avg_touches_last_5_h,avg_touches_last_5_a,avg_passes_h,avg_passes_a,avg_passes_last_3_h,avg_passes_last_3_a,avg_passes_last_5_h,avg_passes_last_5_a,avg_tackles_h,avg_tackles_a,avg_tackles_last_3_h,avg_tackles_last_3_a,avg_tackles_last_5_h,avg_tackles_last_5_a,avg_clearances_h,avg_clearances_a,avg_clearances_last_3_h,avg_clearances_last_3_a,avg_clearances_last_5_h,avg_clearances_last_5_a,avg_corners_h,avg_corners_a,avg_corners_last_3_h,avg_corners_last_3_a,avg_corners_last_5_h,avg_corners_last_5_a,avg_offsides_h,avg_offsides_a,avg_offsides_last_3_h,avg_offsides_last_3_a,avg_offsides_last_5_h,avg_offsides_last_5_a,avg_yellow_cards_h,avg_yellow_cards_a,avg_yellow_cards_last_3_h,avg_yellow_cards_last_3_a,avg_yellow_cards_last_5_h,avg_yellow_cards_last_5_a,avg_fouls_conceded_h,avg_fouls_conceded_a,avg_fouls_conceded_last_3_h,avg_fouls_conceded_last_3_a,avg_fouls_conceded_last_5_h,avg_fouls_conceded_last_5_a,is_boxing_day,finished_top_4_last_season_h,finished_top_4_last_season_a,won_carabao_cup_last_season_h,won_carabao_cup_last_season_a,won_fa_cup_last_season_h,won_fa_cup_last_season_a,won_epl_last_season_h,won_epl_last_season_a,was_in_ucl_last_season_h,was_in_ucl_last_season_a,was_in_uel_last_season_h,was_in_uel_last_season_a,is_in_ucl_this_season_h,is_in_ucl_this_season_a,is_in_uel_this_season_h,is_in_uel_this_season_a,traditional_top_6_h,traditional_top_6_a,newly_promoted_h,newly_promoted_a,total_goal_difference_h,total_goal_difference_a,goal_difference_h,goal_difference_a,positive_total_goal_difference_h,positive_total_goal_difference_a,positive_goal_difference_h,positive_goal_difference_a,is_derby,derby_name,ground_truth,home_win,draw,away_win,link
2017/18,38,2018-05-13,5,13,7,Paul Tierney,Burnley,Bournemouth,Turf Moor,20720,7,12,1,2,51.4,48.6,4,5,10,16,582,596,416,401,16,10,17,33,7,8,0,0,3,1,0,0,14,9,4-4-1-1,3-4-2-1,defeat,win,0,3,37,37,111,111,54,41,57,70,35,43,37,60,43.3,48.1,46.0,49.8,43.2,48.0,3.4,4.1,4.3,4.7,3.6,4.0,9.9,12.1,10.7,13.3,9.0,13.4,544.6,622.6,562.7,633.7,542.6,627.0,355.6,425.1,379.7,432.3,364.0,428.8,14.0,13.5,9.7,8.7,11.2,9.6,31.5,27.1,27.0,30.0,27.4,27.2,4.3,5.7,5.3,9.0,4.6,8.6,2.3,1.4,1.3,2.3,1.4,2.8,2.1,1.5,0.7,1.7,1.0,1.6,9.1,8.9,5.7,10.0,7.0,9.4,18,18,54,54,26,15,28,39,15,17,15,30,45.9,46.6,40.8,49.3,45.4,48.3,3.4,3.9,3.0,4.7,4.0,3.8,10.9,10.2,7.7,11.0,10.6,9.6,563.1,601.7,513.7,635.0,547.6,629.8,373.1,406.3,340.0,435.0,357.4,418.8,13.5,14.1,12.0,15.3,12.0,15.2,29.0,29.7,27.0,30.0,28.2,33.4,4.8,5.3,3.3,5.7,5.4,4.8,2.9,1.9,2.3,3.3,2.4,3.4,1.8,1.3,1.0,0.7,1.0,1.2,8.5,9.2,7.7,8.7,8.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-17,0,-13,0,0,0,0,0,No Derby,-1,0,0,1,https://www.premierleague.com/match/22712
2017/18,38,2018-05-13,5,13,7,Jonathan Moss,Crystal Palace,West Brom,Selhurst Park,25357,11,19,2,0,59.2,40.8,5,1,11,7,792,584,560,379,28,34,18,14,4,2,1,1,2,3,0,0,10,11,4-4-2,4-4-1-1,win,defeat,3,0,37,37,111,111,41,31,70,80,43,31,55,54,44.7,40.3,52.5,33.7,51.0,36.5,3.9,3.1,4.0,3.0,5.2,3.2,12.6,10.0,11.3,10.3,12.4,11.2,584.9,539.7,594.0,497.7,599.0,531.2,373.3,347.0,389.0,298.7,395.8,337.4,17.8,15.4,11.7,16.0,12.4,14.0,27.1,26.5,30.7,32.0,32.4,30.8,5.6,4.7,6.0,4.3,5.2,4.4,1.5,2.0,1.3,1.7,1.6,2.4,1.9,2.0,2.7,2.3,2.6,2.2,11.2,11.6,12.0,12.7,11.4,13.2,18,18,54,54,23,13,31,41,27,10,27,25,45.7,39.6,44.3,35.2,37.4,39.1,4.8,2.7,6.7,4.0,5.4,3.0,14.2,8.9,12.0,10.0,10.2,9.4,590.9,544.1,562.0,531.7,521.6,555.6,377.9,347.4,364.7,334.7,315.4,355.6,19.3,15.1,16.3,16.0,19.2,15.4,25.7,28.5,27.3,31.7,32.8,29.8,5.6,4.1,5.7,2.3,4.6,4.0,1.7,1.8,1.7,1.3,1.4,1.6,2.1,1.9,2.0,2.0,1.4,1.6,11.4,11.1,9.7,11.7,10.2,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,-23,0,-15,0,0,0,0,0,No Derby,1,1,0,0,https://www.premierleague.com/match/22713
2017/18,38,2018-05-13,5,13,7,Michael Oliver,Huddersfield,Arsenal,John Smith's Stadium,24122,16,6,0,1,45.0,55.0,3,4,19,9,603,715,399,519,18,11,19,36,7,4,0,2,1,0,0,0,11,7,5-3-2,4-3-3,defeat,win,0,3,37,37,111,111,37,60,74,51,28,73,57,51,45.7,62.0,32.2,54.7,40.9,60.7,2.9,6.2,2.3,6.0,2.6,5.8,9.3,15.8,5.7,12.7,8.2,14.6,595.0,808.6,519.0,709.7,568.2,767.6,393.5,621.8,311.7,525.7,365.0,580.2,19.6,16.5,19.0,19.3,18.8,17.4,28.4,21.4,44.7,24.7,35.2,20.4,4.3,6.0,1.7,3.3,3.4,4.6,1.6,2.1,0.7,0.7,1.4,1.0,1.8,1.8,1.7,1.0,1.4,1.2,10.4,10.2,7.7,8.3,7.8,9.0,18,18,54,54,23,13,31,41,16,19,24,31,48.8,60.9,52.3,57.4,57.8,58.1,2.8,4.6,1.7,4.3,2.6,4.2,10.5,13.4,8.0,12.3,13.8,11.6,629.9,795.2,660.7,733.3,711.0,737.2,425.9,610.3,444.7,536.7,490.2,546.6,17.8,16.2,19.0,23.7,17.6,18.6,24.5,21.7,18.3,22.3,17.4,21.2,5.3,4.9,5.7,3.7,6.2,4.8,1.7,2.1,1.3,1.3,1.8,2.0,1.7,1.9,2.0,1.0,1.6,1.4,9.4,10.6,9.7,9.3,10.0,9.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,-29,22,-8,-12,0,1,0,0,0,No Derby,-1,0,0,1,https://www.premierleague.com/match/22714
2017/18,38,2018-05-13,5,13,7,Kevin Friend,Liverpool,Brighton,Anfield,50752,4,14,4,0,72.3,27.7,11,1,22,2,898,432,737,275,10,17,7,30,7,3,0,0,1,1,0,0,3,6,4-4-1-1,4-2-3-1,win,defeat,3,0,37,37,111,111,72,40,39,71,80,34,38,50,60.4,43.8,67.3,37.8,65.1,39.8,6.0,3.2,3.3,3.0,4.0,3.4,16.6,10.3,13.0,9.0,13.8,9.4,795.3,573.9,848.0,514.3,825.6,527.0,600.7,389.2,660.0,348.7,637.4,350.0,16.9,15.7,10.0,14.7,13.6,16.0,19.7,28.5,18.0,25.0,19.6,26.2,6.0,4.3,4.7,4.0,4.6,4.2,1.6,2.2,1.3,2.0,1.6,1.4,1.4,1.9,1.3,1.7,1.2,1.6,9.2,11.0,7.0,9.7,7.4,10.2,18,18,54,54,40,11,14,43,41,10,10,25,61.6,42.5,63.9,43.8,66.2,43.1,6.9,2.6,6.3,2.7,6.8,3.6,18.8,9.2,17.7,9.3,17.6,10.4,811.9,561.4,807.7,536.7,853.8,529.0,610.5,378.6,610.7,360.0,663.2,349.4,18.4,15.1,16.7,13.0,20.6,16.2,18.4,31.2,16.3,26.7,16.0,32.2,7.1,3.9,7.3,4.3,7.6,4.0,2.1,1.7,4.0,2.0,2.6,1.4,1.2,1.6,1.0,1.7,1.4,1.8,9.1,11.6,7.0,13.3,7.0,12.8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,42,-16,31,-15,1,0,1,0,0,No Derby,1,1,0,0,https://www.premierleague.com/match/22715
2017/18,38,2018-05-13,5,13,7,Lee Mason,Man Utd,Watford,Old Trafford,75049,2,13,1,0,51.4,48.6,1,3,7,7,659,619,460,429,25,20,23,24,6,5,5,1,4,0,0,0,6,11,4-3-3,4-1-4-1,win,defeat,3,0,37,37,111,111,78,41,33,70,67,44,28,63,54.8,49.7,61.1,43.2,61.8,48.3,4.8,3.5,4.0,5.7,4.0,4.8,13.6,11.7,16.0,12.7,15.0,11.2,726.1,608.3,817.7,555.7,826.2,577.0,529.8,411.5,628.3,365.0,636.6,387.0,14.6,17.5,13.3,19.3,14.8,17.4,22.4,25.1,13.3,28.3,15.2,28.8,5.8,4.8,7.0,2.0,6.0,4.6,1.9,1.9,2.0,2.7,2.6,2.4,1.9,1.8,0.3,1.7,0.6,1.8,10.8,11.6,9.0,12.0,8.6,12.4,18,18,54,54,44,14,10,40,37,17,9,32,57.0,48.1,65.3,43.9,54.5,47.2,5.1,3.3,4.0,2.7,3.8,3.2,14.8,10.8,13.7,7.0,11.2,8.6,751.4,590.2,885.3,578.7,756.4,583.8,557.0,390.6,699.0,393.0,562.4,389.0,14.9,19.3,16.0,23.0,18.0,19.6,18.4,27.2,10.3,27.3,17.8,24.8,6.2,4.6,5.3,2.0,4.0,4.4,1.9,1.8,2.0,2.3,2.0,2.2,1.8,1.4,2.0,0.7,2.0,0.8,11.0,11.4,8.3,7.3,9.6,7.6,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,39,-19,28,-15,1,0,1,0,0,No Derby,1,1,0,0,https://www.premierleague.com/match/22716
2017/18,38,2018-05-13,5,13,7,Martin Atkinson,Newcastle,Chelsea,St. James' Park,52294,10,5,3,0,41.9,58.1,6,2,16,6,585,764,406,569,19,18,10,37,4,2,0,2,0,1,0,0,11,10,4-2-3-1,3-5-1-1,win,defeat,3,0,37,37,111,111,41,70,70,41,36,62,47,35,41.6,55.6,53.8,52.8,46.6,55.4,3.9,5.9,2.0,4.0,2.4,4.4,11.8,16.2,13.3,15.0,11.4,15.6,565.4,755.8,685.0,783.0,618.0,774.2,368.2,559.3,492.0,585.3,422.4,576.6,16.9,16.7,17.3,13.3,18.6,11.8,30.1,19.8,17.7,23.7,22.4,23.0,4.4,6.2,4.7,4.7,4.4,4.6,1.6,2.5,1.3,2.3,1.2,2.0,1.5,1.5,1.7,1.3,1.4,1.4,10.8,9.5,9.0,9.3,9.8,10.6,18,18,54,54,25,33,29,21,18,32,17,19,43.2,54.4,51.6,55.9,45.5,50.4,3.6,4.8,3.0,4.3,3.4,4.0,11.6,13.6,14.3,14.7,12.0,12.2,572.5,743.7,685.3,759.3,627.0,710.2,375.6,550.5,478.7,566.0,420.4,528.4,17.3,17.6,20.3,10.3,19.2,12.8,27.2,21.8,23.7,23.7,30.6,20.2,4.4,4.4,3.3,3.7,2.4,3.4,1.8,2.2,1.3,2.0,1.4,2.6,1.3,2.0,1.0,1.3,0.6,1.4,10.9,9.4,9.3,11.3,10.0,11.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,-11,27,1,13,0,1,1,1,0,No Derby,1,1,0,0,https://www.premierleague.com/match/22717
2017/18,38,2018-05-13,5,13,7,Andre Marriner,Southampton,Man City,St. Mary's Stadium,31882,17,1,0,1,30.3,69.7,3,2,8,13,441,782,259,583,24,13,30,21,1,12,4,2,3,2,0,0,8,10,5-4-1,4-3-3,defeat,win,0,3,37,37,111,111,36,97,75,14,37,105,55,27,52.1,71.8,44.2,76.1,44.0,72.7,3.8,7.1,6.3,5.7,5.6,7.0,11.9,17.6,12.7,17.7,10.8,17.8,654.0,928.3,549.7,991.3,565.8,970.2,457.2,747.5,360.0,816.7,368.2,795.2,17.1,14.9,17.3,14.3,16.6,14.2,24.9,15.3,38.7,10.3,35.6,14.0,6.1,7.4,5.0,7.0,4.4,6.6,1.7,1.6,1.7,1.0,1.2,1.6,1.8,1.6,3.3,0.3,3.4,1.0,11.0,9.0,13.0,8.3,12.4,8.6,18,18,54,54,19,47,35,7,20,44,25,13,55.7,71.2,49.2,69.8,53.1,68.1,4.1,6.1,6.3,6.0,5.2,5.8,13.5,16.9,14.0,18.0,13.2,16.0,687.6,919.9,582.7,959.7,660.0,948.8,490.1,734.6,383.0,787.7,456.4,772.6,16.6,15.3,17.7,12.3,16.0,12.8,21.4,20.1,24.3,19.3,20.0,22.0,6.9,7.4,8.0,8.3,6.8,7.2,1.6,1.4,1.3,0.7,1.8,1.4,1.7,1.9,3.3,2.7,2.8,1.8,10.1,9.2,11.0,10.3,9.2,10.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,-18,78,-5,31,0,1,0,1,0,No Derby,-1,0,0,1,https://www.premierleague.com/match/22718
2017/18,38,2018-05-13,5,13,7,Anthony Taylor,Swansea,Stoke,Liberty Stadium,20673,18,20,1,2,57.6,42.4,11,5,27,8,744,612,544,414,16,21,4,43,6,0,1,5,1,2,0,0,12,9,4-4-2,4-3-3,defeat,win,0,3,37,37,111,111,33,30,78,81,27,33,54,67,44.7,41.0,53.1,37.3,45.4,36.6,2.5,3.4,3.0,2.0,3.4,3.4,8.4,10.2,11.0,6.7,10.8,8.2,595.4,533.9,665.3,474.7,601.4,475.4,410.2,337.2,482.0,287.0,419.2,282.2,16.1,17.8,18.0,19.3,18.0,19.0,25.4,30.3,16.7,37.7,19.6,40.6,3.9,3.7,4.7,2.0,4.2,2.6,0.9,2.0,1.3,2.0,1.2,2.2,1.5,1.9,2.3,3.0,1.8,3.2,9.9,11.5,10.0,15.7,9.6,17.4,18,18,54,54,21,10,33,44,16,13,22,37,46.5,39.1,51.7,32.0,51.5,32.9,3.2,3.4,4.3,3.3,5.0,3.0,10.4,9.6,12.7,8.0,12.0,8.4,613.7,529.4,676.0,466.0,658.8,467.6,424.6,331.2,482.3,270.7,470.4,261.8,16.6,18.2,18.7,15.3,17.2,15.6,21.4,34.4,16.3,41.3,19.0,44.4,4.9,3.1,4.7,2.7,4.6,2.6,1.1,2.0,1.3,2.7,1.2,2.4,1.4,1.8,1.3,2.3,1.2,2.2,10.2,11.6,10.0,16.0,9.8,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27,-34,-6,-24,0,0,0,0,0,No Derby,-1,0,0,1,https://www.premierleague.com/match/22719
2017/18,38,2018-05-13,5,13,7,Craig Pawson,Spurs,Leicester,Wembley Stadium,77841,3,9,5,4,64.0,36.0,6,9,14,17,672,453,480,265,20,23,17,19,4,4,2,4,1,2,0,0,9,13,4-2-3-1,4-2-3-1,win,defeat,3,0,37,37,111,111,74,47,37,64,69,52,32,55,62.1,48.2,66.1,48.0,62.1,51.9,5.7,3.8,5.0,4.3,4.8,4.4,16.5,11.0,14.0,12.7,13.2,12.8,776.8,603.2,775.3,574.0,764.2,607.0,572.4,403.6,574.3,373.3,564.2,404.2,16.2,16.4,14.7,20.0,15.2,17.6,21.8,24.4,26.7,21.7,21.8,22.4,6.5,5.4,6.3,5.3,5.6,7.0,2.3,2.1,2.3,2.7,2.4,1.8,1.4,1.7,1.3,1.3,1.4,1.6,10.1,9.5,11.0,8.0,9.8,8.8,18,18,54,54,40,20,14,34,35,27,12,33,63.6,46.5,57.5,54.8,59.4,50.0,6.3,3.6,4.3,3.7,5.2,3.8,18.9,9.9,10.7,9.0,13.0,8.6,803.6,585.0,725.7,610.7,779.4,591.2,600.1,390.6,524.0,430.0,574.4,410.4,16.6,17.4,17.7,15.3,15.4,16.2,19.2,27.3,23.3,22.0,22.2,23.8,7.7,4.8,5.0,3.7,6.6,3.8,2.4,1.9,4.0,0.7,3.4,1.2,1.2,1.8,2.0,2.0,1.8,2.4,9.3,9.5,10.7,10.7,10.2,10.2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,37,-3,23,-6,1,0,1,0,0,No Derby,1,1,0,0,https://www.premierleague.com/match/22720
2017/18,38,2018-05-13,5,13,7,Graham Scott,West Ham,Everton,London Stadium,56926,15,8,3,1,56.6,43.4,4,7,15,14,652,528,479,365,11,10,20,21,6,6,4,1,0,1,0,0,10,13,3-4-2-1,3-1-4-2,win,defeat,3,0,37,37,111,111,39,49,72,62,45,43,67,55,44.3,45.5,38.3,52.4,41.9,48.9,3.5,3.1,2.0,3.0,3.2,2.6,9.6,9.3,8.7,8.3,11.0,8.6,575.0,588.4,562.7,651.3,566.6,630.8,375.4,388.8,373.0,441.3,376.4,424.0,16.5,17.1,19.3,15.7,15.4,16.0,26.7,32.6,24.3,34.0,23.6,34.8,4.2,3.9,1.3,3.3,4.0,3.2,2.5,1.9,2.3,3.0,2.6,1.8,2.0,1.6,1.0,1.3,1.4,1.8,10.0,12.1,8.7,10.7,10.0,11.0,18,18,54,54,24,15,30,39,21,15,25,33,46.1,44.2,43.8,50.7,46.2,48.7,3.3,3.1,3.0,5.7,3.6,4.6,10.8,8.6,10.3,11.7,11.2,10.4,587.7,585.1,596.3,640.0,588.8,611.8,381.3,383.9,407.3,433.0,396.2,398.2,17.2,19.1,15.7,19.7,16.0,19.2,23.6,33.3,20.0,32.0,19.8,33.6,4.8,3.5,3.7,5.0,4.2,4.8,2.7,1.8,3.3,2.3,2.4,2.0,1.9,1.5,1.0,0.7,1.0,0.8,10.2,11.8,10.7,10.3,10.8,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-22,-12,-4,-18,0,0,0,0,0,No Derby,1,1,0,0,https://www.premierleague.com/match/22721
